planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,mode,source,update_hours,days,initial_energy_kwh,final_energy_kwh,seconds
13472896.675534341,0.0,0.0,0.0,0.0,2044087.863432094,15516984.538966436,21040089.859076858,21040089.859076858,0.0,0.0,504526.12686220236,2328631.6183290537,B_aligned,history,[0],334,6000.0,6000.0,47.0768826007843
13432814.546086399,0.0,0.0,0.0,0.0,1862305.5583981774,15295120.104484579,20965242.625949968,20965242.625949968,0.0,0.0,461933.55536757334,2214898.5951525653,only_0,fusion,[0],334,6000.0,6000.0,46.732789754867554
13457716.593131479,138012.1708205674,146006.76903341213,73003.38451670606,65008.78630386136,1650369.076956017,15173094.456391357,20994923.67575618,20907045.461505264,138330.71718236068,226208.93143327755,410511.06108723953,2108995.151786969,at_0_6,fusion,"[0, 6]",334,6000.0,6000.0,83.28927946090698
13448411.645705795,153112.85484377283,173189.02431494842,86594.51215747421,66518.34268629862,1553680.4838779105,15068610.472270004,20974721.96018451,20849154.19061321,150029.74685124768,275597.5164225523,387077.17101710034,2026238.7729267236,at_0_6_12,fusion,"[0, 6, 12]",334,6000.0,6000.0,112.16468930244446
13457230.677832652,152250.37789070676,173200.59013238366,86600.29506619183,65650.0828245149,1538854.6685306004,15061735.42918777,20984350.34822163,20858221.49894408,149487.64685612015,275616.49613367417,383981.0884748498,2031513.4210783811,all,fusion,"[0, 6, 12, 18]",334,6000.0,6000.0,139.80686807632446
