模型,实际总成本_元,计划购电费_元,紧急购电费_元,紧急购电量_kWh,紧急购电次数,弃电量_kWh,净负荷RMSE_kWh,净负荷MAE_kWh,80分位覆盖率,平均每次紧急购电量_kWh
GBDT分位数主模型,15570285.582066925,14271606.819189273,1298678.762877653,343968.5188752372,8614,4267578.521488919,71.81485721434134,52.43130821161898,0.7901488689288091,39.93133490541412
同星期加权基线,16777527.449244894,14311551.537281847,2465975.9119630475,634020.4037504746,11177,4577454.395985004,105.01622793007797,80.83151943941185,0.5291708250166334,56.72545439299227
