季度,实际总成本_元,紧急购电量_kWh,紧急购电次数,弃电量_kWh,净负荷RMSE_kWh
Q1,2562748.2156143244,46434.00623854476,1846,547443.9390936217,67.09417299619086
Q2,3905819.127674182,150417.0551518929,3113,1170268.9028105482,77.58636192848522
Q3,4514061.892440315,87845.23538051834,1938,1487230.0827737786,84.6210572424305
Q4,4587656.346338103,59272.2221042812,1717,1062635.5968109707,56.32728153281506
