日期,时段,计划购电量_kWh,充电量_kWh,放电量_kWh,时段初储能_kWh,时段末储能_kWh,真实净负荷_kWh,紧急购电量_kWh,弃电量_kWh,能量平衡残差_kWh
2025-02-01,0:00-0:10,1307.4716513665337,833.3333333333333,0.0,6000.0,6750.0,422.0303666666667,0.0,52.107951366533825,0.0
2025-02-01,0:10-0:20,1292.930173737625,833.3333333333333,0.0,6750.0,7500.0,415.4073166666667,0.0,44.189523737624995,0.0
2025-02-01,0:20-0:30,1315.0439328422226,833.3333333333333,0.0,7500.0,8250.0,410.7166666666667,0.0,70.99393284222265,0.0
2025-02-01,0:30-0:40,1332.2868695700213,833.3333333333333,0.0,8250.0,9000.0,430.29479999999995,0.0,68.65873623668813,0.0
2025-02-01,0:40-0:50,1327.8150454744896,833.3333333333333,0.0,9000.0,9750.0,424.4105833333333,0.0,70.07112880782302,0.0
2025-02-01,0:50-1:00,496.95161421244126,0.0,0.0,9750.0,9750.0,406.0516666666666,0.0,90.89994754577464,0.0
2025-02-01,1:00-1:10,505.92856958615823,0.0,0.0,9750.0,9750.0,436.7501833333333,0.0,69.17838625282491,0.0
2025-02-01,1:10-1:20,485.87495636856676,0.0,0.0,9750.0,9750.0,451.7976833333333,0.0,34.077273035233475,0.0
2025-02-01,1:20-1:30,813.8218081706987,333.3333333333333,0.0,9750.0,10050.0,446.08,0.0,34.40847483736536,0.0
2025-02-01,1:30-1:40,496.9757664222181,0.0,0.0,10050.0,10050.0,471.7663333333333,0.0,25.209433088884794,0.0
2025-02-01,1:40-1:50,509.7718900196335,0.0,0.0,10050.0,10050.0,448.02596666666665,0.0,61.74592335296683,0.0
2025-02-01,1:50-2:00,510.5622673245413,0.0,0.0,10050.0,10050.0,397.4033333333333,0.0,113.15893399120802,0.0
2025-02-01,2:00-2:10,519.4879663267292,0.0,0.0,10050.0,10050.0,434.0906333333333,0.0,85.39733299339588,0.0
2025-02-01,2:10-2:20,521.9221092122291,0.0,0.0,10050.0,10050.0,490.5609166666666,0.0,31.36119254556246,0.0
2025-02-01,2:20-2:30,520.701977102292,0.0,0.0,10050.0,10050.0,503.22,0.0,17.48197710229192,0.0
2025-02-01,2:30-2:40,508.18626661753393,0.0,0.0,10050.0,10050.0,474.07281666666665,0.0,34.11344995086728,0.0
2025-02-01,2:40-2:50,519.0919375892652,0.0,0.0,10050.0,10050.0,461.38439999999997,0.0,57.7075375892652,0.0
2025-02-01,2:50-3:00,543.7054044273443,0.0,0.0,10050.0,10050.0,476.94166666666666,0.0,66.76373776067766,0.0
2025-02-01,3:00-3:10,526.972627101657,0.0,0.0,10050.0,10050.0,483.39955,0.0,43.57307710165708,0.0
2025-02-01,3:10-3:20,529.7323851164789,0.0,0.0,10050.0,10050.0,486.6019166666666,0.0,43.13046844981227,0.0
2025-02-01,3:20-3:30,538.6914311765258,0.0,0.0,10050.0,10050.0,498.84833333333336,0.0,39.84309784319248,0.0
2025-02-01,3:30-3:40,538.1815806441334,0.0,0.0,10050.0,10050.0,518.3097333333333,0.0,19.87184731080015,0.0
2025-02-01,3:40-3:50,529.0292007941458,0.0,0.0,10050.0,10050.0,509.13346666666666,0.0,19.89573412747916,0.0
2025-02-01,3:50-4:00,562.5043125185307,0.0,0.0,10050.0,10050.0,483.6166666666666,0.0,78.88764585186408,0.0
2025-02-01,4:00-4:10,539.341296166225,0.0,0.0,10050.0,10050.0,491.1868,0.0,48.15449616622499,0.0
2025-02-01,4:10-4:20,524.6089773531129,0.0,0.0,10050.0,10050.0,504.64528333333334,0.0,19.963694019779552,0.0
2025-02-01,4:20-4:30,547.558677161187,0.0,0.0,10050.0,10050.0,505.57833333333326,0.0,41.980343827853744,0.0
2025-02-01,4:30-4:40,568.2532951705729,0.0,0.0,10050.0,10050.0,503.23096666666663,0.0,65.02232850390624,0.0
2025-02-01,4:40-4:50,563.8211943331785,0.0,0.0,10050.0,10050.0,502.84675000000004,0.0,60.97444433317844,0.0
2025-02-01,4:50-5:00,572.228054944475,0.0,0.0,10050.0,10050.0,499.64166666666665,0.0,72.5863882778084,0.0
2025-02-01,5:00-5:10,562.0372045928939,0.0,0.0,10050.0,10050.0,488.78358333333335,0.0,73.25362125956053,0.0
2025-02-01,5:10-5:20,559.3861409525965,0.0,0.0,10050.0,10050.0,498.51543333333336,0.0,60.87070761926316,0.0
2025-02-01,5:20-5:30,579.5569828547815,0.0,0.0,10050.0,10050.0,529.2233333333334,0.0,50.33364952144814,0.0
2025-02-01,5:30-5:40,1416.3170461888699,833.3333333333333,0.0,10050.0,10800.0,547.4103166666666,0.0,35.57339618886999,0.0
2025-02-01,5:40-5:50,582.7943881865723,0.0,-0.0,10800.0,10800.0,531.1811666666666,0.0,51.613221519905665,0.0
2025-02-01,5:50-6:00,0.0,0.0,554.7681579983828,10800.0,10183.590935557353,510.98333333333335,0.0,43.78482466504943,0.0
2025-02-01,6:00-6:10,0.0,0.0,596.9199885045349,10183.590935557353,9520.346503885648,535.1871833333332,0.0,61.732805171201676,0.0
2025-02-01,6:10-6:20,0.0,0.0,612.9033063751292,9520.346503885648,8839.342830135505,533.3553333333333,0.0,79.5479730417959,0.0
2025-02-01,6:20-6:30,0.0,0.0,574.2384125761081,8839.342830135505,8201.300149495386,504.52,0.0,69.71841257610811,0.0
2025-02-01,6:30-6:40,0.0,0.0,574.2896680305453,8201.300149495386,7563.200518350335,519.5536833333333,0.0,54.73598469721196,0.0
2025-02-01,6:40-6:50,0.0,0.0,603.7015910215116,7563.200518350335,6892.420972770878,551.4800833333333,0.0,52.22150768817835,0.0
2025-02-01,6:50-7:00,0.0,0.0,645.3189395201512,6892.420972770878,6175.399928859599,552.0416666666666,0.0,93.27727285348453,0.0
2025-02-01,7:00-7:10,0.0,0.0,627.72933143201,6175.399928859599,5477.922893935143,514.5580499999999,0.0,113.17128143201012,0.0
2025-02-01,7:10-7:20,0.0,0.0,584.3935621652723,5477.922893935143,4828.596713751507,447.90854999999993,0.0,136.4850121652724,0.0
2025-02-01,7:20-7:30,120.6291095220663,0.0,408.4300477448544,4828.596713751507,4374.785549590558,389.4241666666667,0.0,139.634990600254,0.0
2025-02-01,7:30-7:40,470.35706885512616,0.0,0.0,4374.785549590558,4374.785549590558,377.65375,0.0,92.70331885512616,0.0
2025-02-01,7:40-7:50,0.0,0.0,408.4515589327251,4374.785549590558,3920.950484109752,361.16134999999997,0.0,47.290208932725136,0.0
2025-02-01,7:50-8:00,0.0,0.0,386.30705384201246,3920.950484109752,3491.7204242852936,299.92291666666665,0.0,86.38413717534581,0.0
2025-02-01,8:00-8:10,0.0,0.0,348.37815265897035,3491.7204242852936,3104.6335879975486,202.22623333333343,0.0,146.15191932563692,0.0
2025-02-01,8:10-8:20,0.0,0.0,296.8191601228372,3104.6335879975486,2774.834521194396,129.7926,0.0,167.02656012283722,0.0
2025-02-01,8:20-8:30,0.0,0.0,246.2166680496871,2774.834521194396,2501.2604455836326,86.28458333333327,0.0,159.9320847163538,0.0
2025-02-01,8:30-8:40,0.0,0.0,192.8200977465839,2501.2604455836326,2287.015892531873,35.96915000000001,0.0,156.8509477465839,0.0
2025-02-01,8:40-8:50,0.0,0.0,196.45200465202748,2287.015892531873,2068.7358873629532,62.45393333333334,0.0,133.99807131869414,0.0
2025-02-01,8:50-9:00,0.0,0.0,212.45690588679642,2068.7358873629532,1832.672658599846,115.17666666666673,0.0,97.28023922012969,0.0
2025-02-01,9:00-9:10,0.0,0.0,174.7865847515646,1832.672658599846,1638.4653422092188,45.824116666666555,0.0,128.96246808489803,0.0
