planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,mode,source,update_hours,days,initial_energy_kwh,final_energy_kwh,seconds
13462693.51198398,0.0,0.0,0.0,0.0,927198.9920762747,14389892.504060257,22100215.199208636,22100215.199208636,0.0,0.0,246099.3261823813,3097820.3258631076,B_aligned,history,[0],334,6000.0,6000.0,37.04524517059326
13361311.455226406,0.0,0.0,0.0,0.0,820133.5758276465,14181445.031054053,21925324.353496253,21925324.353496253,0.0,0.0,218589.29859990103,2904187.738487782,only_0,fusion,[0],334,6000.0,6000.0,34.86219882965088
13357362.055210512,91960.94103859659,98482.71336287913,49241.35668143957,42719.58435715703,701289.8278086586,14101371.467376329,21905962.911060862,21850764.261891678,100962.41926340727,156161.06843259413,186570.892702014,2802142.127584465,at_0_6,fusion,"[0, 6]",334,6000.0,6000.0,68.8388888835907
13346100.632683784,89528.77113399914,150236.93020317412,75118.46510158706,14410.306032412078,661847.1661537405,14022358.104869936,21881739.716305353,21734732.431359686,96784.20522757691,243791.49017324613,175344.39069847713,2676593.8125048983,at_0_6_12,fusion,"[0, 6, 12]",334,6000.0,6000.0,100.2426745891571
13345819.30087182,89947.28279979789,150170.13166615966,75085.06583307983,14862.216966718075,661715.4630574046,14022396.98089594,21880796.781802483,21734126.026541203,97028.05303014931,243698.8082914257,175369.94610641338,2676605.7782419156,all,fusion,"[0, 6, 12, 18]",334,6000.0,6000.0,126.60313057899475
