date,method,lp_status,lp_message,lp_objective_yuan,expected_cost_yuan,cleanup_objective_difference_yuan,cleanup_state_max_abs_kwh,simultaneous_periods_before_cleanup,simultaneous_periods_after_cleanup,horizon_periods,scenario_count,planning_initial_kwh,planning_terminal_kwh,seconds,latest_input_date,scenario_first_origin,scenario_last_origin,scenario_last_observed_date
2025-02-07,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),48898.83298420037,48898.832984200344,-2.9103830456733704e-11,7.275957614183426e-12,0,0,288,28,8550.000000000004,6000.0,0.09091499999340158,2025-02-06,2025-01-09,2025-02-05,2025-02-06
2025-02-07,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),41910.976938973865,41910.97693897387,7.275957614183426e-12,9.094947017729282e-12,0,0,288,1,8549.999999999993,6000.0,0.010374599994975142,2025-02-06,2025-01-09,2025-02-05,2025-02-06
2025-02-07,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),25353.322608084043,25353.322608084014,-2.9103830456733704e-11,2.7284841053187847e-12,0,0,144,28,6000.000000000001,6000.0,0.047792900004424155,2025-02-06,2025-01-09,2025-02-05,2025-02-06
2025-02-08,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),81754.30665562232,81754.30665562226,-5.820766091346741e-11,1.4551915228366852e-11,0,0,288,28,8550.000000000007,6000.0,0.09981840000546072,2025-02-07,2025-01-10,2025-02-06,2025-02-07
2025-02-08,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),74346.21125706249,74346.2112570625,1.4551915228366852e-11,3.637978807091713e-12,0,0,288,1,8529.949523507623,6000.0,0.011962899996433407,2025-02-07,2025-01-10,2025-02-06,2025-02-07
2025-02-08,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),24586.341481844855,24586.341481844847,-7.275957614183426e-12,1.8189894035458565e-12,0,0,144,28,6000.000000000003,6000.0,0.04486270000052173,2025-02-07,2025-01-10,2025-02-06,2025-02-07
2025-02-09,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),114759.39928745925,114759.39928745925,0.0,1.3642420526593924e-11,0,0,288,28,8550.000000000011,6000.0,0.09971930000756402,2025-02-08,2025-01-11,2025-02-07,2025-02-08
2025-02-09,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),106790.68691542164,106790.6869154217,5.820766091346741e-11,3.637978807091713e-12,0,0,288,1,8550.000000000002,6000.0,0.012610899997525848,2025-02-08,2025-01-11,2025-02-07,2025-02-08
2025-02-09,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),58054.78890697884,58054.78890697882,-2.1827872842550278e-11,1.8189894035458565e-12,0,0,144,28,6000.000000000001,6000.0,0.04154049999488052,2025-02-08,2025-01-11,2025-02-07,2025-02-08
2025-02-10,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),115331.86131334801,115331.86131334805,4.3655745685100555e-11,2.7284841053187847e-12,0,0,288,28,8550.000000000011,6000.0,0.09361039999930654,2025-02-09,2025-01-12,2025-02-08,2025-02-09
2025-02-10,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),107451.73901821743,107451.73901821741,-1.4551915228366852e-11,3.637978807091713e-12,0,0,288,1,8550.0,6000.0,0.01082239999959711,2025-02-09,2025-01-12,2025-02-08,2025-02-09
2025-02-10,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),58503.883185996565,58503.88318599664,7.275957614183426e-11,1.8189894035458565e-12,0,0,144,28,6000.0,6000.0,0.04541900000185706,2025-02-09,2025-01-12,2025-02-08,2025-02-09
2025-02-11,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),113025.10354622755,113025.10354622759,4.3655745685100555e-11,9.094947017729282e-12,0,0,288,28,8549.999999999998,6000.0,0.09218319998763036,2025-02-10,2025-01-13,2025-02-09,2025-02-10
2025-02-11,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),105273.10765818717,105273.10765818725,7.275957614183426e-11,8.185452315956354e-12,0,0,288,1,8550.0,6000.0,0.010854699998162687,2025-02-10,2025-01-13,2025-02-09,2025-02-10
2025-02-11,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),57273.10615878906,57273.10615878904,-1.4551915228366852e-11,5.4569682106375694e-12,0,0,144,28,5999.999999999999,6000.0,0.046552799991331995,2025-02-10,2025-01-13,2025-02-09,2025-02-10
2025-02-12,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),112268.62518958202,112268.62518958194,-7.275957614183426e-11,1.4551915228366852e-11,0,0,288,28,8549.999999999993,6000.0,0.0983494999964023,2025-02-11,2025-01-14,2025-02-10,2025-02-11
2025-02-12,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),104718.6366118823,104718.6366118823,0.0,5.4569682106375694e-12,0,0,288,1,8550.000000000005,6000.0,0.012017599990940653,2025-02-11,2025-01-14,2025-02-10,2025-02-11
2025-02-12,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56901.48013210838,56901.4801321084,2.1827872842550278e-11,5.4569682106375694e-12,0,0,144,28,5999.9999999999945,6000.0,0.04542840000067372,2025-02-11,2025-01-14,2025-02-10,2025-02-11
2025-02-13,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),76841.57113733873,76841.5711373386,-1.3096723705530167e-10,1.6370904631912708e-11,0,0,288,28,8549.999999999989,6000.0,0.0942631999932928,2025-02-12,2025-01-15,2025-02-11,2025-02-12
2025-02-13,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),70688.4770512214,70688.47705122139,-1.4551915228366852e-11,4.092726157978177e-12,0,0,288,1,8550.000000000004,6000.0,0.01136390000465326,2025-02-12,2025-01-15,2025-02-11,2025-02-12
2025-02-13,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),56117.621461891424,56117.621461891504,8.003553375601768e-11,3.637978807091713e-12,0,0,144,28,5999.999999999995,6000.0,0.04520259999844711,2025-02-12,2025-01-15,2025-02-11,2025-02-12
2025-02-14,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),41126.039149942,41126.0391499421,1.0186340659856796e-10,2.7284841053187847e-12,0,0,288,28,7949.999999999986,6000.0,0.09465289999207016,2025-02-13,2025-01-16,2025-02-12,2025-02-13
2025-02-14,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),37539.6972520377,37539.69725203771,7.275957614183426e-12,8.185452315956354e-12,0,0,288,1,7949.999999999997,6000.0,0.010748200002126396,2025-02-13,2025-01-16,2025-02-12,2025-02-13
2025-02-14,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),21384.627636856985,21384.62763685697,-1.4551915228366852e-11,4.547473508864641e-12,0,0,144,28,5999.999999999998,6000.0,0.042378899990580976,2025-02-13,2025-01-16,2025-02-12,2025-02-13
2025-02-15,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),72585.15149113527,72585.1514911352,-7.275957614183426e-11,6.366462912410498e-12,0,0,288,28,7949.999999999999,6000.0,0.08535189999383874,2025-02-14,2025-01-17,2025-02-13,2025-02-14
2025-02-15,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),67627.1479438652,67627.14794386516,-4.3655745685100555e-11,3.637978807091713e-12,0,0,288,1,7753.994565516886,6000.0,0.011894200011738576,2025-02-14,2025-01-17,2025-02-13,2025-02-14
2025-02-15,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),20766.0832209507,20766.08322095067,-2.9103830456733704e-11,5.4569682106375694e-12,0,0,144,28,5999.999999999997,6000.0,0.041274500006693415,2025-02-14,2025-01-17,2025-02-13,2025-02-14
2025-02-16,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),104214.16366243552,104214.16366243549,-2.9103830456733704e-11,6.821210263296962e-12,0,0,288,28,8549.999999999996,6000.0,0.0927055000065593,2025-02-15,2025-01-18,2025-02-14,2025-02-15
2025-02-16,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),97330.50836319858,97330.50836319856,-1.4551915228366852e-11,5.4569682106375694e-12,0,0,288,1,8550.000000000004,6000.0,0.011432900006184354,2025-02-15,2025-01-18,2025-02-14,2025-02-15
2025-02-16,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),52960.51216098125,52960.5121609812,-5.093170329928398e-11,3.637978807091713e-12,0,0,144,28,5999.999999999997,6000.0,0.049232100005610846,2025-02-15,2025-01-18,2025-02-14,2025-02-15
2025-02-17,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),103612.28745225369,103612.28745225345,-2.3283064365386963e-10,5.4569682106375694e-12,0,0,288,28,8549.999999999996,6000.0,0.09434500000497792,2025-02-16,2025-01-19,2025-02-15,2025-02-16
2025-02-17,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),96756.43249533129,96756.43249533126,-2.9103830456733704e-11,7.275957614183426e-12,0,0,288,1,8549.999999999996,6000.0,0.012526899998192675,2025-02-16,2025-01-19,2025-02-15,2025-02-16
2025-02-17,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),52774.31804218932,52774.31804218931,-7.275957614183426e-12,1.8189894035458565e-12,0,0,144,28,6000.0,6000.0,0.04313350000302307,2025-02-16,2025-01-19,2025-02-15,2025-02-16
2025-02-18,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),101535.58517604967,101535.58517604966,-1.4551915228366852e-11,7.275957614183426e-12,0,0,288,28,8549.999999999998,6000.0,0.09397280000848696,2025-02-17,2025-01-20,2025-02-16,2025-02-17
2025-02-18,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),94863.802793354,94863.80279335401,1.4551915228366852e-11,5.4569682106375694e-12,0,0,288,1,8549.999999999996,6000.0,0.012836299996706657,2025-02-17,2025-01-20,2025-02-16,2025-02-17
2025-02-18,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),51682.55601380065,51682.55601380062,-2.9103830456733704e-11,3.637978807091713e-12,0,0,144,28,6000.0,6000.0,0.04467339999973774,2025-02-17,2025-01-20,2025-02-16,2025-02-17
2025-02-19,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),101049.97019078629,101049.97019078622,-7.275957614183426e-11,8.185452315956354e-12,0,0,288,28,8549.999999999996,6000.0,0.0842362000112189,2025-02-18,2025-01-21,2025-02-17,2025-02-18
2025-02-19,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),94531.83039634475,94531.83039634475,0.0,9.094947017729282e-12,0,0,288,1,8549.999999999996,6000.0,0.012776000003213994,2025-02-18,2025-01-21,2025-02-17,2025-02-18
2025-02-19,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),51359.99454528552,51359.99454528555,3.637978807091713e-11,2.7284841053187847e-12,0,0,144,28,6000.000000000001,6000.0,0.041675199987366796,2025-02-18,2025-01-21,2025-02-17,2025-02-18
2025-02-20,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),69594.13660932344,69594.13660932326,-1.7462298274040222e-10,7.275957614183426e-12,0,0,288,28,8549.999999999996,6000.0,0.08501369999430608,2025-02-19,2025-01-22,2025-02-18,2025-02-19
2025-02-20,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),65173.91252400986,65173.91252400984,-2.1827872842550278e-11,5.4569682106375694e-12,0,0,288,1,8549.999999999996,6000.0,0.01022680000460241,2025-02-19,2025-01-22,2025-02-18,2025-02-19
2025-02-20,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),51416.81958964521,51416.81958964519,-2.1827872842550278e-11,7.275957614183426e-12,0,0,144,28,6000.000000000003,6000.0,0.04487410000001546,2025-02-19,2025-01-22,2025-02-18,2025-02-19
2025-02-21,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),37737.97584437218,37737.97584437212,-5.820766091346741e-11,5.9117155615240335e-12,0,0,288,28,7278.201678232254,6000.0,0.08428509999066591,2025-02-20,2025-01-23,2025-02-19,2025-02-20
2025-02-21,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),35611.74769021119,35611.747690211174,-1.4551915228366852e-11,1.000444171950221e-11,0,0,288,1,7116.906741951567,6000.0,0.01074019999941811,2025-02-20,2025-01-23,2025-02-19,2025-02-20
2025-02-21,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),19393.87990113366,19393.87990113364,-1.8189894035458565e-11,1.8189894035458565e-12,0,0,144,28,5999.9999999999945,6000.0,0.05005200000596233,2025-02-20,2025-01-23,2025-02-19,2025-02-20
2025-02-22,stochastic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),67836.60523428567,67836.60523428555,-1.1641532182693481e-10,3.637978807091713e-12,0,0,288,28,7037.227469647942,6000.0,0.08375649999652524,2025-02-21,2025-01-24,2025-02-20,2025-02-21
2025-02-22,deterministic_48h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),63804.98602726249,63804.98602726248,-7.275957614183426e-12,3.637978807091713e-12,0,0,288,1,6864.990064194145,6000.0,0.009665499994298443,2025-02-21,2025-01-24,2025-02-20,2025-02-21
2025-02-22,stochastic_24h,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),18967.74506135361,18967.74506135359,-1.8189894035458565e-11,1.8189894035458565e-12,0,0,144,28,6000.0,6000.0,0.0388266000081785,2025-02-21,2025-01-24,2025-02-20,2025-02-21
