date,method,grid_plan_kwh,charge_kwh,discharge_kwh,emergency_kwh,surplus_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,energy_start_kwh,energy_end_kwh,emergency_periods,energy_min_kwh,energy_max_kwh
2025-02-01,stochastic_48h,49793.720829562866,23552.190268296174,16782.2741173199,122.70388019480504,8768.332625448069,25643.612604141672,498.13871928787086,26141.75132342954,6000.0,8550.0,5,1199.999999999999,10800.0
2025-02-01,deterministic_48h,45527.13422338669,23367.54891935739,16632.714624679487,512.0890940934075,4926.2130894688635,23332.315741835788,2271.0027291385118,25603.318470974296,6000.0,8549.999999999998,21,1199.9999999999982,10800.0
2025-02-01,no_storage,49852.495622874434,0.0,0.0,98.08112721861448,15572.40081675972,37056.769186800295,371.68857137864427,37428.45775817894,6000.0,6000.0,4,6000.0,6000.0
2025-02-01,stochastic_24h,46960.38749622953,20718.856934962838,16782.2741173199,122.70388019480504,8768.332625448069,24441.66260414167,498.13871928787086,24939.801323429543,6000.0,5999.999999999999,5,1199.999999999999,10800.0
2025-02-02,stochastic_48h,92308.70480867653,24657.11333941322,19972.261804924703,16.589172283272433,9284.164496471305,58193.53150922674,104.02823224890203,58297.55974147565,8550.0,8550.000000000004,2,1199.9999999999982,10800.000000000002
2025-02-02,deterministic_48h,88618.01897399776,24380.286108567354,19748.03174793956,79.92306666666684,5709.409730036629,55581.15866363366,372.36821496433225,55953.526878597986,8549.999999999998,8549.999999999998,8,1199.9999999999964,10799.999999999998
2025-02-02,no_storage,87619.76128844831,0.0,0.0,16.589172283272433,9280.072510731583,69637.08699755091,104.02823224890203,69741.11522979982,6000.0,6000.0,2,6000.0,6000.0
2025-02-02,stochastic_24h,92308.70480867654,24657.11333941322,19972.261804924703,16.589172283272433,9284.164496471305,58201.88150922674,104.02823224890203,58305.90974147565,5999.999999999999,6000.000000000002,2,1199.9999999999973,10800.0
2025-02-03,stochastic_48h,91276.96292535418,24565.745891387414,19898.254172023808,87.32536689560425,6479.880072886191,57479.16576778768,329.21063645744005,57808.376404245115,8550.000000000004,8550.000000000004,9,1200.0,10800.000000000002
2025-02-03,deterministic_48h,88037.00934550943,24273.242995692573,19661.326826510987,554.382600503663,3762.559276831503,55145.24910568015,2106.6762631287766,57251.92536880892,8549.999999999998,8549.999999999995,32,1199.9999999999945,10799.999999999998
2025-02-03,no_storage,86459.70324901043,0.0,0.0,93.2032794413916,6335.990028451828,68751.23476623994,358.0291765063406,69109.2639427463,6000.0,6000.0,10,6000.0,6000.0
2025-02-03,stochastic_24h,91276.9629253542,24565.74589138742,19898.254172023808,87.32536689560425,6479.880072886192,57487.51576778767,329.21063645744005,57816.72640424512,6000.000000000002,6000.000000000005,9,1200.0,10800.000000000004
2025-02-04,stochastic_48h,91237.24002778018,24465.484487556336,19817.042434920633,670.8851814474402,6064.819206591928,57387.55957284199,2823.4721187541263,60211.03169159611,8550.000000000004,8550.000000000004,20,1200.000000000001,10800.000000000002
2025-02-04,deterministic_48h,88018.34798254703,24195.631890742996,19598.46183150183,1519.034012225275,3745.3479855311357,55067.23252459375,6387.580984741208,61454.81350933497,8549.999999999995,8549.999999999995,37,1199.9999999999927,10799.999999999995
2025-02-04,no_storage,86470.15408240481,0.0,0.0,714.3279770213114,5989.618109426131,68671.98744365973,3048.7382254918584,71720.72566915158,6000.0,6000.0,21,6000.0,6000.0
2025-02-04,stochastic_24h,91237.24002778018,24465.484487556336,19817.042434920633,670.8851814474402,6064.819206591928,57395.90957284198,2823.4721187541263,60219.38169159611,6000.000000000005,6000.000000000003,20,1200.0000000000018,10800.000000000004
2025-02-05,stochastic_48h,91081.41798584559,24513.216543191025,19855.70539998474,320.05970557109515,5995.539564877071,57387.750479531824,1083.112737539938,58470.86321707176,8550.000000000004,8550.0,13,1199.9999999999982,10800.0
2025-02-05,deterministic_48h,87863.57851446376,24243.363946377693,19637.124796565935,926.2003767399265,3435.112758058608,55088.35650954269,3332.343345338094,58420.69985488079,8549.999999999995,8549.99999999999,31,1199.999999999991,10799.999999999995
2025-02-05,no_storage,86348.09354762903,0.0,0.0,320.05970557109515,5919.726269866798,68735.85026799224,1083.112737539938,69818.96300553219,6000.0,6000.0,13,6000.0,6000.0
2025-02-05,stochastic_24h,91081.41798584559,24513.21654319103,19855.70539998474,320.05970557109515,5995.53956487707,57396.100479531815,1083.112737539938,58479.21321707176,6000.000000000003,5999.999999999999,13,1199.9999999999982,10800.0
2025-02-06,stochastic_48h,91705.50201365844,24626.36132410171,19947.352672522386,66.27011982600732,6821.706265238466,57860.3125405843,333.59300932946485,58193.905549913776,8550.0,8550.000000000004,8,1200.0,10800.000000000002
2025-02-06,deterministic_48h,88446.11681152377,24324.9985735201,19703.248844551286,495.3868351648348,4048.6967010531134,55526.22204157534,2050.019049396383,57576.241090971715,8549.99999999999,8549.999999999993,27,1199.999999999989,10799.99999999999
2025-02-06,no_storage,87012.71167793177,0.0,0.0,69.1663263278391,6810.820787592965,69285.89863521683,350.220702376787,69636.11933759361,6000.0,6000.0,8,6000.0,6000.0
2025-02-06,stochastic_24h,91705.50201365844,24626.361324101712,19947.352672522386,66.27011982600743,6821.706265238467,57868.66254058431,333.5930093294651,58202.25554991378,5999.999999999999,6000.000000000001,8,1199.9999999999982,10800.0
2025-02-07,stochastic_48h,46287.78041442171,20592.475264872643,16679.90496454684,24.473621092796463,10594.004068522036,23924.16198223761,127.66852133270181,24051.830503570312,8550.000000000004,8550.000000000007,4,1200.0000000000064,10800.000000000005
2025-02-07,deterministic_48h,42328.838497899196,20416.94846781678,16555.773687774723,302.6325511904763,6964.616602380952,21756.449956808832,1616.867107461241,23373.31706427007,8549.999999999993,8529.949523507623,20,1199.9999999999927,10799.999999999993
2025-02-07,no_storage,48695.66775278721,0.0,0.0,60.476845604395635,16950.46493172494,36204.109267210224,319.28812508268464,36523.3973922929,6000.0,6000.0,7,6000.0,6000.0
2025-02-07,stochastic_24h,46287.78041442171,20592.475264872643,16679.90496454684,24.473621092796463,10594.004068522036,23932.51198223761,127.66852133270181,24060.18050357031,6000.000000000001,6000.000000000003,4,1200.0000000000027,10800.000000000002
2025-02-08,stochastic_48h,44827.262949271855,20708.463766315625,16773.855650715654,45.448461630036775,9360.940578635254,23183.868498040647,287.2165981879361,23471.085096228584,8550.000000000007,8550.000000000011,5,1200.0000000000118,10800.00000000001
2025-02-08,deterministic_48h,40957.22145757609,20256.550667420415,16389.7606117674,529.3272538003655,6042.595939056776,21137.570793133043,2593.3282844955093,23730.899077628554,8529.949523507623,8550.000000000002,26,1200.0000000000018,10800.000000000002
2025-02-08,no_storage,48350.814013827556,0.0,0.0,53.30367654660171,16826.954973707492,35950.589648994806,343.0389428796358,36293.62859187444,6000.0,6000.0,5,6000.0,6000.0
2025-02-08,stochastic_24h,44827.26294927185,20708.463766315625,16773.855650715654,45.448461630036775,9360.940578635254,23192.218498040645,287.2165981879361,23479.435096228583,6000.000000000003,6000.000000000001,5,1200.000000000001,10800.0
2025-02-09,stochastic_48h,89151.65281214254,24542.112390057126,19879.111035946276,756.2390838675204,5689.474575232544,56099.3897213007,2381.5834678853307,58480.97318918603,8550.000000000011,8550.000000000011,15,1200.000000000009,10800.000000000011
2025-02-09,deterministic_48h,86222.05926616074,24299.319921426304,19682.44913635531,1591.5967367673984,3641.3692511904765,53982.962831899495,5059.1984240789125,59042.161255978404,8550.000000000002,8550.0,35,1200.0,10800.0
2025-02-09,no_storage,84516.36525432288,0.0,0.0,720.2527594169716,5681.202047073204,67514.98039849318,2297.2636280498928,69812.24402654308,6000.0,6000.0,13,6000.0,6000.0
2025-02-09,stochastic_24h,89151.65281214254,24542.11239005713,19879.111035946276,756.2390838675204,5689.474575232544,56107.739721300706,2381.5834678853307,58489.323189186034,6000.000000000001,6000.0,15,1199.999999999999,10800.0
2025-02-10,stochastic_48h,89855.31501121414,24721.7654421607,20024.630008150183,18.6862500000002,10850.228243870299,56517.13093496789,125.81452125000136,56642.945456217894,8550.000000000011,8549.999999999998,1,1199.9999999999982,10800.0
2025-02-10,deterministic_48h,87046.59515809591,24456.063334011662,19809.41130054945,82.48328727106218,8155.788828571431,54485.645183193614,433.79767828385957,54919.44286147747,8550.0,8550.0,8,1200.0,10800.0
2025-02-10,no_storage,85174.06592093073,0.0,0.0,18.6862500000002,10866.114587597403,67944.59724331362,125.81452125000136,68070.41176456361,6000.0,6000.0,1,6000.0,6000.0
2025-02-10,stochastic_24h,89855.31501121416,24721.765442160715,20024.630008150183,18.6862500000002,10850.228243870297,56525.4809349679,125.81452125000136,56651.29545621789,6000.0,5999.999999999999,1,1199.999999999999,10800.0
