date,interval,charge_kwh,discharge_kwh
2025-03-20,00:00—04:00,2500.0,0.0
2025-03-20,04:00—08:00,1500.0,5904.295214611765
2025-03-20,08:00—12:00,5922.214647140023,3144.531517379425
2025-03-20,12:00—16:00,5058.380986144641,520.4557309693877
2025-03-20,16:00—20:00,0.0,6405.4377225
2025-03-20,20:00—24:00,833.3333333333334,2234.5622774999997
2025-06-21,00:00—04:00,0.0,0.0
2025-06-21,04:00—08:00,2749.805111992945,2227.3421407142855
2025-06-21,08:00—12:00,7535.004514132651,0.0
2025-06-21,12:00—16:00,3131.662152534012,0.0
2025-06-21,16:00—20:00,0.0,6017.994229030612
2025-06-21,20:00—24:00,9166.666666666668,2757.0057709693874
2025-09-23,00:00—04:00,4166.666666666667,0.0
2025-09-23,04:00—08:00,833.3333333333334,5614.154261054421
2025-09-23,08:00—12:00,6150.981627346939,3025.845738945579
2025-09-23,12:00—16:00,4882.172035351474,296.85446678571407
2025-09-23,16:00—20:00,0.0,6245.2158746938785
2025-09-23,20:00—24:00,4833.333333333333,2394.7841253061224
2025-12-21,00:00—04:00,666.6666666666666,0.0
2025-12-21,04:00—08:00,0.0,833.3333333333334
2025-12-21,08:00—12:00,5833.333333333334,7806.666666666669
2025-12-21,12:00—16:00,8256.218436948855,2772.5369339285717
2025-12-21,16:00—20:00,0.0,5609.296854166667
2025-12-21,20:00—24:00,8333.333333333334,3030.703145833333
