name,days,report_start,report_end,initial_energy_kwh,final_energy_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,emergency_slots,emergency_days,objective_assumption,saving_vs_repriced_q2_yuan,saving_percent
q2_repriced,334,2025-02-01,2025-12-31,8315.124735378853,6000.0,13714598.903854363,977811.167206302,14692410.071060667,21536104.902933624,6709706.972976917,6040932.595848585,239906.65010151273,3168047.680940139,8369,332,Only historical observations available at 00:00,0.0,0.0
mean_price,334,2025-02-01,2025-12-31,8315.124735378853,6000.0,13696204.845442612,986227.2352998756,14682432.080742486,21596572.65571148,7345741.466262867,6613363.639805938,241816.3444437808,3166821.6787316664,8391,332,Only historical observations available at 00:00,9977.990318180993,0.06791254988066547
joint_price,334,2025-02-01,2025-12-31,8315.124735378853,6000.0,13770221.844547983,913806.7059594329,14684028.550507419,21715123.752929807,7356382.997854062,6622941.018238014,221663.22879278887,3264155.50713988,7839,332,Only historical observations available at 00:00,8381.520553248003,0.057046601018555215
known_today_price,334,2025-02-01,2025-12-31,8315.124735378853,6000.0,13541704.11792086,969681.0074198844,14511385.125340745,21703260.811110534,8350090.280172265,7517277.572324396,237823.03970536063,3169081.6480013593,8308,332,Current-day prices available at 00:00; tomorrow prices forecast from history,181024.94571992196,1.2320983749050336
