method,training_start,training_end,days,rmse,mae
previous_day,2025-01-08,2025-01-31,24,0.12662611840709334,0.08482149884259259
mean7,2025-01-08,2025-01-31,24,0.10291839123209666,0.0806415591931217
profile7_lastlevel,2025-01-08,2025-01-31,24,0.11945374279866332,0.08610389993478101
weekday4,2025-01-08,2025-01-31,24,0.045458202415797774,0.035663040123456786
