date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots,sample_count,max_history_day,clipped_scenario_price_count,horizon_expected_cost_yuan,solver_status,raw_simultaneous_slots
2025-03-20,39504.34251524457,2706.12843684269,42210.47095208726,62213.181514711774,17359.354475833487,21623.419028250137,631.4502682497179,4899.734518711475,8315.124735378855,1990.569415042095,32,56,2025-03-19,0,54166.29112696467,0,0
2025-06-21,22017.880019460823,1037.1901977117025,23055.070217172524,47739.07167088627,22213.41483527124,12470.453351744116,311.2889001360548,18972.6586874952,1200.0,9128.48363142523,13,56,2025-06-20,0,71158.34850458961,0,0
2025-09-23,44714.462793110506,4936.905772588812,49651.36856569932,69972.18713569555,23594.699567405663,20649.403271498435,1057.401948639456,5967.677205094453,6116.470723599674,6733.985905294665,43,56,2025-09-22,0,84726.951519314,0,0
2025-12-21,71752.65353223655,2334.5265521608826,74087.18008439743,95409.6612711008,25119.288512538813,24107.35966128493,517.3581675510204,5877.308720731291,10686.83298050514,9105.69415042095,19,56,2025-12-20,0,144598.3766501073,0,0
