date,issue_hour,alpha_next_6h,history_mae_kw,external_mae_kw,fusion_mae_kw
2025-02-01,0,0,0.00112774943311,0.00829722222222,0.00178674298023
2025-02-01,6,0.547624814443,84.4174492014,234.4563625,160.085073031
2025-02-01,12,0.871680102888,145.421206703,96.1012421296,88.9750500123
2025-02-01,18,0,0.000978670634921,0.00888333333333,0.00164112691578
2025-02-02,0,0,0.00186459750567,0.00789444444444,0.00254011838873
2025-02-02,6,0.55585274662,103.376253745,113.270165278,95.3894996836
2025-02-02,12,0.869706417905,178.935026459,141.540245833,123.546414317
2025-02-02,18,0,0.00253988095238,0.00767777777778,0.00325575727323
2025-02-03,0,0,0.00435745464853,0.00558611111111,0.00498673783117
2025-02-03,6,0.535704139117,163.676996036,118.416556019,123.079318313
2025-02-03,12,0.866695559295,156.536013609,103.290351852,108.616861663
2025-02-03,18,0,0.0046366638322,0.00569166666667,0.00530909023111
2025-02-04,0,0,0.00715616496599,0.00246111111111,0.00772310113143
2025-02-04,6,0.535365429098,210.411182006,177.791011111,103.136154642
2025-02-04,12,0.868137063978,287.204259023,120.074690278,141.447977708
2025-02-04,18,0,0.00748640873016,0.00248055555556,0.00807852744528
2025-02-05,0,0,0.00725175736961,0.00135,0.00769858644203
2025-02-05,6,0.538713970815,283.586903982,95.645012037,145.89824978
2025-02-05,12,0.869553899331,130.470640547,120.831612037,100.244985898
2025-02-05,18,0,0.00743171768707,0.00139166666667,0.00789630512056
2025-02-06,0,0.0541924533742,0.00750174319728,0.000383333333333,0.00751033396117
2025-02-06,6,0.540194652263,134.207668878,158.845073611,93.5344617424
2025-02-06,12,0.882979275601,124.96799837,101.038966204,96.5670843083
2025-02-06,18,0.0539496791746,0.00781618480726,0.000272222222222,0.00781715467379
2025-02-07,0,0.128220757627,0.00665795068027,0.00111111111111,0.00636043653532
2025-02-07,6,0.56084050633,217.566280173,201.078498611,164.771938163
2025-02-07,12,0.878500478191,358.869281378,141.841888889,151.911778159
2025-02-07,18,0.126293147453,0.00733125,0.00145833333333,0.00701488857426
2025-02-08,0,0.180920181102,0.00610885770975,0.00235833333333,0.00584237192109
2025-02-08,6,0.557134562211,240.624647194,110.581404167,122.209913309
2025-02-08,12,0.877311908082,166.161705088,117.493369444,96.8236180034
2025-02-08,18,0.181279486041,0.00607280328798,0.00228333333333,0.00580881206618
2025-02-09,0,0.209935867419,0.00568647959184,0.00367777777778,0.00561830179662
2025-02-09,6,0.556658047975,249.317775935,206.466093056,86.2001659742
2025-02-09,12,0.899751962404,219.907357951,165.014748611,123.306446
2025-02-09,18,0.211374719429,0.00533724489796,0.00336111111111,0.00527607874566
2025-02-10,0,0.223379477959,0.00458049886621,0.00444166666667,0.00481530378702
2025-02-10,6,0.572988062385,464.732778529,147.954112037,165.859909572
2025-02-10,12,0.895720026829,194.20422354,120.523063426,100.493672512
2025-02-10,18,0.224266427983,0.00477074829932,0.00457222222222,0.00499593105569
2025-02-11,0,0.227177082672,0.004358319161,0.00583333333333,0.0048521510816
2025-02-11,6,0.572078464306,180.064272279,133.362726852,63.4246476843
2025-02-11,12,0.878793808948,187.349195309,97.6848703704,86.269773625
2025-02-11,18,0.227896739021,0.00389226190476,0.00535833333333,0.00439615572679
2025-02-12,0,0.223950795773,0.00394716553288,0.00678333333333,0.00463464584043
2025-02-12,6,0.599469756107,221.422491312,145.511249074,87.5068767925
2025-02-12,12,0.882696196741,146.795095592,118.682388889,118.290334061
2025-02-12,18,0.224882128562,0.00371662414966,0.006475,0.00439663236255
2025-02-13,0,0.214570369936,0.00379263038549,0.00795555555556,0.00461794305058
2025-02-13,6,0.600373203039,449.213977579,113.611175,122.161625086
2025-02-13,12,0.882495799678,276.749923625,150.281945833,146.814016325
2025-02-13,18,0.21714883937,0.00506464002268,0.00908333333333,0.00588949692577
2025-02-14,0,0.199932485285,0.0030253968254,0.00843333333333,0.00391384095407
2025-02-14,6,0.603201402283,298.297257809,87.1904050926,162.536617647
2025-02-14,12,0.882300209365,118.335290547,133.197963889,102.023705739
2025-02-14,18,0.204634649884,0.00323680555556,0.00872222222222,0.00419494769721
2025-02-15,0,0.179195035846,0.00326740362812,0.00986111111111,0.00412222960774
2025-02-15,6,0.626986058963,165.114090448,135.276808333,150.846890711
2025-02-15,12,0.888234490128,161.240375014,97.5067740741,93.214838719
2025-02-15,18,0.180886264961,0.00302852891156,0.0097,0.00390253776976
2025-02-16,0,0.156658328062,0.00288815192744,0.0107055555556,0.00366774045161
2025-02-16,6,0.640617266305,326.162714867,251.038479167,296.789102645
2025-02-16,12,0.88451900766,111.990440094,171.939727778,146.792749319
2025-02-16,18,0.158320282068,0.00311870748299,0.0109944444444,0.00390790884686
2025-02-17,0,0.128370828782,0.00377490079365,0.0127388888889,0.0043690039202
2025-02-17,6,0.64289666476,222.307264838,122.023929167,117.69737638
2025-02-17,12,0.881298592741,137.384375567,153.709011111,133.730711825
2025-02-17,18,0.132943426121,0.0036289824263,0.0127472222222,0.00426831410665
2025-02-18,0,0.099758329906,0.00408520408163,0.0144138888889,0.00451508536335
2025-02-18,6,0.652231721512,176.321150652,259.372794444,186.502697604
2025-02-18,12,0.868657716189,118.416014215,123.530027778,98.7302652354
2025-02-18,18,0.104063298233,0.00428044217687,0.0147416666667,0.00474765636276
2025-02-19,0,0.0631704780937,0.00195698696145,0.0137083333333,0.00205328691323
2025-02-19,6,0.655054351171,230.029334311,167.53952037,125.295769868
2025-02-19,12,0.861845274617,199.901395507,115.151579167,79.9931834577
2025-02-19,18,0.0698221613074,0.00361031746032,0.0156166666667,0.00378195870807
2025-02-20,0,0.0240307122801,0.00140741213152,0.0114611111111,0.00178018858528
2025-02-20,6,0.650928187141,169.521555683,154.205217593,155.37279791
2025-02-20,12,0.856873516509,171.648608574,127.116266667,102.407002128
2025-02-20,18,0.0303497918586,0.00280032596372,0.0107,0.00309725330509
2025-02-21,0,0.00507917861428,0.00464272959184,0.00873888888889,0.00526255077009
2025-02-21,6,0.651256123512,134.273166043,245.518547222,138.523370401
2025-02-21,12,0.850443933595,103.5963446,104.025743056,78.8914242744
2025-02-21,18,0,0.00666928854875,0.00702777777778,0.00739849879806
2025-02-22,0,0.0161930158923,0.00852246315193,0.0048,0.00897440925733
2025-02-22,6,0.651186920414,165.394201786,106.61557037,120.37986778
2025-02-22,12,0.850096407979,267.566425595,110.026868519,117.614215012
2025-02-22,18,0.0210069502636,0.00917861394558,0.00410277777778,0.00959651884628
2025-02-23,0,0.0503711917336,0.0104877409297,0.00186666666667,0.0104995301822
2025-02-23,6,0.643381935485,174.283064357,110.485212963,120.494476001
2025-02-23,12,0.84664453618,220.630569898,213.324525463,193.22242582
2025-02-23,18,0.0684700956265,0.0118429138322,0.000369444444444,0.0116580969329
2025-02-24,0,0.104964766488,0.0207760629252,0.0100083333333,0.0202334821006
2025-02-24,6,0.644806141499,220.687479691,326.828361111,248.940884231
2025-02-24,12,0.849771291567,176.914705981,117.810021759,101.445775961
2025-02-24,18,0.122758758579,0.0237425170068,0.0134222222222,0.0230740321553
2025-02-25,0,0.159985507597,0.0299283304989,0.0222805555556,0.029184614048
2025-02-25,6,0.645674817515,468.933220493,255.7552375,282.206806266
2025-02-25,12,0.848073414003,221.58665017,116.554813889,91.6012914848
2025-02-25,18,0.180926383159,0.0292986678005,0.02265,0.028526098471
2025-02-26,0,0.204721249399,0.0332307539683,0.0317472222222,0.033090253978
2025-02-26,6,0.634634003235,220.122058985,125.700798611,106.828715122
2025-02-26,12,0.848964683563,204.52271019,160.293676852,123.550979844
2025-02-26,18,0.2193490872,0.040058361678,0.0396388888889,0.0400331819591
2025-02-27,0,0.221754014149,0.0331525651927,0.0391861111111,0.0342024321195
2025-02-27,6,0.643998105168,327.588961905,116.986291667,163.636578179
2025-02-27,12,0.847540748414,161.998144189,104.640216667,74.133718525
2025-02-27,18,0.227717259391,0.0330361536281,0.0418472222222,0.0346665264423
2025-02-28,0,0.177127566356,0.043937542517,0.0583222222222,0.0456829162082
2025-02-28,6,0.645845433778,234.589265136,219.858335185,151.29421029
2025-02-28,12,0.841759000495,177.585163549,139.492191667,130.25188964
2025-02-28,18,0.159261578095,0.0473288690476,0.0647583333333,0.0491090225645
2025-03-01,0,0.054499236729,0.042710685941,0.0682222222222,0.0427831534208
2025-03-01,6,0.655709968848,687.666991199,304.037904167,435.171707607
2025-03-01,12,0.839571388955,163.143301431,116.479941204,84.3621896682
2025-03-01,18,0.0129308213864,0.0366493055556,0.0659666666667,0.0355366621319
2025-03-02,0,0,0.0430460600907,0.0806305555556,0.0410825944757
2025-03-02,6,0.654164960195,506.881092063,169.558826389,153.870714095
2025-03-02,12,0.840068461053,828.674431222,141.192096296,206.249395441
2025-03-02,18,0,0.0334924886621,0.0742555555556,0.0315294572293
2025-03-03,0,0,0.0367450255102,0.0878527777778,0.0344589766657
2025-03-03,6,0.685868501392,689.333294218,187.979600463,357.521182066
2025-03-03,12,0.836872399976,415.443662089,86.8812162037,95.083733979
2025-03-03,18,0,0.041902154195,0.0947555555556,0.0394851683628
2025-03-04,0,0,0.0431651927438,0.107058333333,0.0402837935938
2025-03-04,6,0.699308599951,353.365664342,196.91395,188.856848736
2025-03-04,12,0.871110913691,153.747823143,153.909065278,136.030046611
2025-03-04,18,0,0.0317423469388,0.0980722222222,0.0288691722811
2025-03-05,0,0,0.0433772250567,0.121438888889,0.0400050487131
2025-03-05,6,0.728345915012,219.953222194,124.825689815,112.468284433
2025-03-05,12,0.873437639321,233.489023186,194.029475463,162.441835528
2025-03-05,18,0,0.0425035856009,0.121275,0.0390647735586
2025-03-06,0,0,0.0478395833333,0.140863888889,0.0438418244862
2025-03-06,6,0.731184157878,227.850558192,170.081563889,143.529215723
2025-03-06,12,0.869230004803,121.816040122,91.1597777778,73.2547310752
2025-03-06,18,0,0.0406160714286,0.133166666667,0.0367172253727
2025-03-07,0,0,0.0116863095238,0.121625,0.00705989524111
2025-03-07,6,0.735457825137,228.784628245,120.090705093,103.472120602
2025-03-07,12,0.865617038207,147.363320196,159.042775926,149.871736271
2025-03-07,18,0,0.0167553287982,0.124488888889,0.0122404887481
2025-03-08,0,0,0.0197921201814,0.100325,0.0251118617588
2025-03-08,6,0.731898870655,223.249087982,104.745015278,87.4687487128
2025-03-08,12,0.861673069276,319.834171088,108.775020833,120.657990001
2025-03-08,18,0,0.00143901643991,0.11615,0.00653912547684
2025-03-09,0,0,0.0461818877551,0.0785222222222,0.0516709961372
2025-03-09,6,0.736631204937,123.262584184,155.263648611,112.974335851
2025-03-09,12,0.861379057951,490.191548228,131.857958796,144.040647551
2025-03-09,18,0,0.03428944161,0.0911055555556,0.0396357512286
2025-03-10,0,0,0.0983801162132,0.0250388888889,0.103582382274
2025-03-10,6,0.761723684398,287.97379341,131.787287037,136.914592032
2025-03-10,12,0.868267577193,299.740883914,158.905518056,148.87107278
2025-03-10,18,0,0.079558064059,0.0476972222222,0.0848836925428
2025-03-11,0,0,0.111663704649,0.000141666666667,0.116196667988
2025-03-11,6,0.772535976992,236.854517885,146.346875926,129.695496851
2025-03-11,12,0.871413073764,261.649687713,196.795205556,181.794816625
2025-03-11,18,0,0.118527040816,0.000216666666667,0.123351775621
2025-03-12,0,0.0387273815139,0.114543835034,0.0218416666667,0.114617029122
2025-03-12,6,0.775136465289,272.771730556,127.527804167,94.0222385238
2025-03-12,12,0.879719977761,221.28946301,87.5920972222,63.0757637351
2025-03-12,18,0,0.121463123583,0.0208777777778,0.12513050185
2025-03-13,0,0.163210857096,0.102286975624,0.0331916666667,0.0950086008157
2025-03-13,6,0.779099928883,494.84598682,116.734109722,121.927598469
2025-03-13,12,0.877747713779,335.61380479,149.575701852,131.968751532
2025-03-13,18,0.122194040549,0.111760430839,0.0348611111111,0.106306939781
2025-03-14,0,0.231940326913,0.091358404195,0.0504222222222,0.0854451618438
2025-03-14,6,0.781198192603,371.544705867,356.896034722,217.109397105
2025-03-14,12,0.880603957621,220.96289888,133.198990278,119.155107878
2025-03-14,18,0.203722030842,0.111312329932,0.0619666666667,0.10488520384
2025-03-15,0,0.267636322179,0.0774511621315,0.0641361111111,0.076775666481
2025-03-15,6,0.788879639907,449.25331036,203.917916667,106.622329439
2025-03-15,12,0.880919129172,239.047128458,188.066565278,171.472286588
2025-03-15,18,0.247065577109,0.0940880668934,0.0750972222222,0.0923392694625
2025-03-16,0,0.28035840831,0.0543292942177,0.06715,0.0598318313346
2025-03-16,6,0.770583622023,387.099881392,226.753073611,236.042727145
2025-03-16,12,0.881717694101,189.20017585,154.630556944,129.807585604
2025-03-16,18,0.264476456024,0.0695067176871,0.081075,0.0743611411953
2025-03-17,0,0.278453820875,0.0850648809524,0.120613888889,0.095744245594
2025-03-17,6,0.768620214589,558.877123257,226.683373611,166.349388741
2025-03-17,12,0.878291265492,386.67644905,93.2959560185,98.0478731508
2025-03-17,18,0.263718663003,0.0856198270975,0.124252777778,0.0962713237659
2025-03-18,0,0.268460798323,0.0730043650794,0.132408333333,0.0886978497645
2025-03-18,6,0.774871655057,314.37989093,126.619866204,147.568965055
2025-03-18,12,0.877425409716,217.592868736,116.546616667,97.8170793199
2025-03-18,18,0.251185574897,0.040339824263,0.106644444444,0.0561614017988
2025-03-19,0,0.237552426044,0.0664177579365,0.147425,0.0835144287164
2025-03-19,6,0.764199688067,289.039395068,231.747420833,190.089465099
2025-03-19,12,0.879894535617,317.933636111,239.179290278,225.18310699
2025-03-19,18,0.218429787275,0.0904336026077,0.173513888889,0.105780106917
2025-03-20,0,0.194400987262,0.0558026785714,0.157388888889,0.0714567939459
2025-03-20,6,0.770070506955,153.805613194,296.243363889,240.450327227
2025-03-20,12,0.88426657522,198.423429691,156.958603704,158.480550726
2025-03-20,18,0.190238791864,0.0585893707483,0.166908333333,0.0751188091534
2025-03-21,0,0.141781465539,0.0627021258503,0.1845,0.0739186002262
2025-03-21,6,0.760819022417,325.202656661,144.662938426,125.517680421
2025-03-21,12,0.887010872763,347.247006264,110.380027315,110.578890187
2025-03-21,18,0.125208260443,0.0496816184807,0.179505555556,0.05938717427
2025-03-22,0,0.0896510563394,0.0742931405896,0.218163888889,0.0802211023261
2025-03-22,6,0.751453107212,194.992933177,173.835241667,144.434161613
2025-03-22,12,0.884574496073,252.644086139,172.85100787,161.568561862
2025-03-22,18,0.0722287870315,0.0705197845805,0.219691666667,0.0740925104782
2025-03-23,0,0.0305242613184,0.352048511905,0.700647222222,0.367647059605
2025-03-23,6,0.758532212316,251.049224518,255.642662037,177.317503751
2025-03-23,12,0.88109407198,423.361594274,165.837263889,164.20247048
2025-03-23,18,0.0255959724265,0.0198587443311,0.728079166667,0.0232693172193
2025-03-24,0,0,0.859722037982,2.00843333333,0.868045342026
2025-03-24,6,0.757189354223,188.55269049,130.223773611,134.496269595
2025-03-24,12,0.878865824275,240.716282951,181.801632407,155.286344787
2025-03-24,18,0,0.0549330357143,1.84165694444,0.0633397104736
2025-03-25,0,0.262359002043,1.16714203515,3.23347638889,1.69468833277
2025-03-25,6,0.749579373319,349.855414569,120.991541204,164.721063421
2025-03-25,12,0.888010721673,182.119287684,105.312069444,118.859393123
2025-03-25,18,0,0.107280017007,2.97842777778,0.115974499655
2025-03-26,0,0.374232844489,1.41048351757,4.78253333333,2.52766634939
2025-03-26,6,0.75196986936,467.27471566,130.914157407,197.953385294
2025-03-26,12,0.883358379244,225.721476304,193.645091667,207.102137292
2025-03-26,18,0,0.181063761338,4.65095694444,0.188962113034
2025-03-27,0,0.32868907201,2.03036196145,5.45879722222,2.81722800216
2025-03-27,6,0.760849448454,144.753775609,176.37882963,135.349717902
2025-03-27,12,0.894600521862,275.678406335,141.367243981,167.785794412
2025-03-27,18,0,0.354598526077,5.69891527778,0.361701477004
2025-03-28,0,0.278442468897,2.39515008503,6.73793333333,2.98233782652
2025-03-28,6,0.772811181428,213.313869303,76.5215759259,82.2478786985
2025-03-28,12,0.892051251149,166.387220621,94.1842930556,101.028684782
2025-03-28,18,0,0.489858049887,7.23222083333,0.496399609953
2025-03-29,0,0.283393370534,2.56561292517,8.35161388889,3.45417148153
2025-03-29,6,0.771822023983,379.513418849,100.60789537,156.399262738
2025-03-29,12,0.896358790395,432.894338166,113.362225926,127.811381676
2025-03-29,18,0,0.623908290816,8.54993194444,0.625349762357
2025-03-30,0,0.278965662005,2.2942501559,10.7120347222,3.53247675912
2025-03-30,6,0.778642057816,169.99204256,140.018164815,119.560598499
2025-03-30,12,0.897841118062,265.935257242,209.922759722,200.78929467
2025-03-30,18,0.0189546998937,0.610369246032,9.64166805556,0.620192966952
2025-03-31,0,0.259581405564,2.63352028061,12.0545555556,3.93825313517
2025-03-31,6,0.784345485949,270.346252154,90.2812643519,122.363584803
2025-03-31,12,0.90530306304,538.190252296,162.180823611,182.062963399
2025-03-31,18,0.0371805211421,0.537521371882,9.75672361111,0.601911992693
2025-04-01,0,0.224385882038,2.82329394841,13.4186527778,3.83888056706
2025-04-01,6,0.783088180837,563.695577622,174.508342593,136.251625914
2025-04-01,12,0.904130935794,469.073453685,128.59422963,114.846256903
2025-04-01,18,0.0456201895419,0.720523937075,11.8509652778,0.823041917543
2025-04-02,0,0.203359004231,1.93603850624,12.5757361111,3.02594235234
2025-04-02,6,0.788711353015,828.124749589,155.609856019,85.7516345031
2025-04-02,12,0.910894894793,345.642648356,156.009041667,112.390445
2025-04-02,18,0.0487665593472,0.757906136621,14.4107013889,0.914308356649
2025-04-03,0,0.187847657111,1.81985391156,13.3075972222,2.77431313472
2025-04-03,6,0.792635442521,290.330376587,135.942985185,121.385302385
2025-04-03,12,0.91179465096,293.72030051,119.836104167,116.036246605
2025-04-03,18,0.0543023199169,0.550924631519,15.1587611111,0.77454949144
2025-04-04,0,0.169728685998,2.1908373441,16.7249555556,3.1556775735
2025-04-04,6,0.7995150357,142.812797846,224.382484722,174.832251949
2025-04-04,12,0.907874264022,449.031603827,157.466819907,191.752440225
2025-04-04,18,0.0563296103395,0.807002267574,18.2526305556,1.07423581513
2025-04-05,0,0.154043097132,2.58610085034,20.618275,3.73233262134
2025-04-05,6,0.801695050642,274.478136395,120.667158333,146.140674725
2025-04-05,12,0.900251907429,305.769883348,253.375745833,247.571254931
