issue_hour,history_mae_kw,external_mae_kw,fusion_mae_kw
0,3.02255942503,10.5578072217,2.82081384896
6,309.241004954,184.686951516,169.414558597
12,288.993648634,140.3782805,133.679559223
18,1.95712689417,10.0151408433,1.78568823365
