date,span,emergency_kwh
2025-03-20,00:20-00:30,12.389000000000124
2025-03-20,01:10-01:40,37.478582500000016
2025-03-20,03:00-03:30,70.16502916666673
2025-03-20,04:50-05:10,48.10107185941081
2025-03-20,05:50-06:00,7.850666666666711
2025-03-20,08:50-09:10,26.144808503401805
2025-03-20,11:10-11:20,8.273129469954867
2025-03-20,12:30-12:50,26.693699905441548
2025-03-20,15:30-16:20,208.65839863945604
2025-03-20,16:30-17:20,61.83607428477001
2025-03-20,18:40-19:10,73.66960874149687
2025-03-20,20:00-20:20,41.72827500000005
2025-03-20,21:10-21:30,42.676581666666834
2025-03-20,23:30-23:50,24.137804999999958
2025-06-21,00:20-00:30,40.44124999999997
2025-06-21,01:20-01:30,21.10349999999994
2025-06-21,01:50-02:10,13.243549166666924
2025-06-21,02:50-03:30,99.51553751700686
2025-06-21,18:50-19:10,78.16862530612252
2025-06-21,20:20-20:30,15.05375000000015
2025-06-21,22:00-22:30,71.18717833333335
2025-09-23,00:30-01:20,22.16771833333337
2025-09-23,02:00-02:20,55.40729833333364
2025-09-23,03:50-04:00,11.953499999999964
2025-09-23,04:50-05:10,34.27816272108828
2025-09-23,05:40-05:50,10.717289982993066
2025-09-23,06:20-06:30,1.784429846938906
2025-09-23,10:00-10:20,13.049125187074283
2025-09-23,10:50-11:00,5.97584183673456
2025-09-23,14:30-15:20,272.3808008503409
2025-09-23,15:50-16:50,147.40031862244854
2025-09-23,17:30-17:40,16.924630136054247
2025-09-23,18:10-18:50,111.43123437074883
2025-09-23,19:10-19:30,45.485229404762094
2025-09-23,19:50-20:30,140.63901042517023
2025-09-23,20:50-21:10,106.59088083333336
2025-09-23,21:20-22:00,58.24462500000004
2025-09-23,22:20-22:30,57.720249999999965
2025-09-23,23:10-23:40,67.3707383333334
2025-12-21,01:00-01:20,29.048494166666615
2025-12-21,02:10-02:20,0.605570000000057
2025-12-21,03:00-03:10,15.381698333333247
2025-12-21,03:30-03:50,108.42298833333325
2025-12-21,05:50-06:00,8.041249999999877
2025-12-21,06:10-06:30,41.112354506802376
2025-12-21,10:30-11:30,271.919835663266
2025-12-21,15:20-15:30,13.092430272108686
2025-12-21,18:40-19:00,8.15177877551048
2025-12-21,19:40-20:10,63.76248333333308
