date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-07-31,52373.26419789849,1130.6787184097439,53503.942916308224,80935.04248901954,16054.786433436211,18099.745251474487,273.94065612244873,8558.945696513601,8550.0,2888.4797328987147,uniform56,56,56.0,2025-07-30,2025-07-25
2025-08-01,25845.256392451716,670.9615823686394,26516.217974820356,43536.02224804715,13893.873379356683,11392.488283894556,221.18433294217664,20004.46181886054,2888.4797328987147,2734.6454588813303,uniform56,56,56.0,2025-07-31,2025-07-25
2025-08-02,28374.607670314545,465.4753885358759,28840.083058850418,49628.60174256067,20151.95019616612,11089.260571887755,112.03262250000003,19750.919807448976,2734.6454588813303,8550.0,uniform56,56,56.0,2025-08-01,2025-08-01
2025-08-03,51594.573671391045,2830.1741748261793,54424.74784621722,82130.44006369772,22075.76218057886,17881.36736626888,773.3308532993195,15869.896119353738,8550.0,8550.0,uniform56,56,56.0,2025-08-02,2025-08-01
2025-08-04,50748.18966823048,661.5567255422127,51409.74639377269,80962.59276275741,21878.93410027442,17721.936621222278,251.53859202381034,11641.478792395748,8550.0,8550.0,uniform56,56,56.0,2025-08-03,2025-08-01
2025-08-05,49670.27097013247,1113.6553889895818,50783.92635912205,79141.46126613568,21567.015175820947,17469.282292414962,337.5813206462583,10228.99997004262,8550.0,8550.0,uniform56,56,56.0,2025-08-04,2025-08-01
2025-08-06,48853.567281105396,7279.073583742893,56132.6408648483,77819.82798287834,21070.639899323927,17067.218318452382,1894.0498021768692,7596.056937517008,8550.0,8550.0,uniform56,56,56.0,2025-08-05,2025-08-01
2025-08-07,45308.998450178886,1597.7190546523948,46906.71750483128,69777.98955473019,13858.040664441083,16676.957158248297,517.2904526870741,9726.211251224486,8550.0,2492.28419994331,uniform56,56,56.0,2025-08-06,2025-08-01
2025-08-08,24028.83617775052,802.9352036986495,24831.771381449165,41131.62886065907,13409.452259995805,10911.597014048979,179.30865658163273,23037.91102129387,2492.28419994331,2436.7945516628874,uniform56,56,56.0,2025-08-07,2025-08-01
2025-08-09,26618.180738681025,2235.874844902553,28854.055583583577,47211.948886867176,19587.114657428407,10903.677969013605,536.6605259523812,20143.243724404758,2436.7945516628874,7950.0,uniform56,56,56.0,2025-08-08,2025-08-08
2025-08-10,46375.48718446787,5383.6029943138865,51759.09017878176,73315.06552849815,19948.80776402536,16158.534288860543,1579.6120481972794,5799.785051530612,7950.0,7950.0,uniform56,56,56.0,2025-08-09,2025-08-08
2025-08-11,47187.26978358388,3816.7268243376802,51003.99660792156,74826.23290086378,20016.29150436718,16213.196118537415,855.9098631462591,7317.794044846938,7950.0,7950.0,uniform56,56,56.0,2025-08-10,2025-08-08
2025-08-12,47077.58431930095,7773.118532604549,54850.702851905495,74742.82362127278,20321.367050558496,16460.30731095238,1896.4880984523825,5017.708330119045,7950.0,7950.0,uniform56,56,56.0,2025-08-11,2025-08-08
2025-08-13,47740.77542262805,4763.195406786389,52503.970829414444,75619.47447666267,20350.40796086336,16483.83044829932,1166.2046513945588,6798.122165493199,7950.0,7950.0,uniform56,56,56.0,2025-08-12,2025-08-08
2025-08-14,44770.384849787915,4093.754935110017,48864.13978489793,69028.23541179727,14175.456250776855,16414.00212457483,941.68068255102,6282.170984812927,7950.0,2470.1304872826913,uniform56,56,56.0,2025-08-13,2025-08-08
2025-08-15,24297.82206496052,1420.717061978588,25718.53912693911,41268.27524511023,13712.205787100022,11081.685431003401,413.7580418877551,21891.786047568028,2470.1304872826913,2498.1318834467115,uniform56,56,56.0,2025-08-14,2025-08-08
2025-08-16,27135.912972536855,1210.5474065983512,28346.46037913521,47712.804324670564,19870.18372586105,11044.055029132653,297.08000858843553,22254.475269863942,2498.1318834467115,8110.124982129819,uniform56,56,56.0,2025-08-15,2025-08-15
2025-08-17,47758.3938827707,1843.6544990063994,49602.04838177711,75435.4488175653,20259.715263466664,16526.651833010204,438.0523765646251,8975.044147006802,8110.124982129819,7980.922238127365,uniform56,56,56.0,2025-08-16,2025-08-15
2025-08-18,47592.84985297019,2618.822896982653,50211.67274995285,75317.95658838708,20604.842722060544,16717.752619183673,593.8113024659845,7630.562171309522,7980.922238127365,7950.0,uniform56,56,56.0,2025-08-17,2025-08-15
2025-08-19,47650.77275875549,2781.3780250437594,50432.150783799254,75271.0966243594,20641.806583900223,16719.863332959183,690.2974295408164,7721.79075295918,7950.0,7950.0,uniform56,56,56.0,2025-08-18,2025-08-15
2025-08-20,47331.396303386464,13164.637192206164,60496.03349559263,74793.38581613546,20548.70938093139,16644.454598554417,3400.7520129761924,3639.1919800680257,7950.0,7950.0,uniform56,56,56.0,2025-08-19,2025-08-15
2025-08-21,45496.40625211055,3879.448675638043,49375.8549277486,70134.5935522115,15782.082418997226,17287.23516738095,1000.8551640306123,6796.182981292517,7950.0,2945.8351022297816,uniform56,56,56.0,2025-08-20,2025-08-15
2025-08-22,24558.20487574535,3799.651791223273,28357.856666968622,41596.41271605715,13898.67681678844,11382.087275867347,961.0919295068027,18810.34570464286,2945.8351022297816,2807.880597486773,uniform56,56,56.0,2025-08-21,2025-08-15
2025-08-23,27366.541656682133,974.5102416729244,28341.051898355054,47920.05720716636,19957.275048288815,11338.746262312923,342.6506629421767,17114.17293413265,2807.880597486773,8170.821182821235,uniform56,56,56.0,2025-08-22,2025-08-22
2025-08-24,49385.71313011389,1241.5332817528638,50627.246411866756,78400.73927151591,22006.240399305032,17483.79378797619,350.26444295918304,10494.967619812924,8170.821182821235,8550.0,uniform56,56,56.0,2025-08-23,2025-08-22
2025-08-25,49385.94549134726,6905.619597783749,56291.56508913101,78296.5963523841,22059.921970836476,17868.536796377546,1962.405698180274,5294.529859438775,8550.0,8550.0,uniform56,56,56.0,2025-08-24,2025-08-22
2025-08-26,49844.551039216574,1507.957243583451,51352.50828280002,79097.2849862142,22069.574540227804,17876.355377584525,369.0284138945575,9744.275854132145,8550.0,8550.0,uniform56,56,56.0,2025-08-25,2025-08-22
2025-08-27,49731.310329935266,1919.104702834667,51650.41503276993,78835.58730276056,22141.236548542875,17934.401604319726,428.3878003571423,7142.991292227888,8550.0,8550.0,uniform56,56,56.0,2025-08-26,2025-08-22
2025-08-28,46859.94387845622,10203.594754495249,57063.53863295147,72034.18406079008,16116.451961283272,17983.35980748299,2793.120359778912,5926.4172834353685,8550.0,3073.295867951625,uniform56,56,56.0,2025-08-27,2025-08-22
2025-08-29,24924.36030230511,1545.492609431969,26469.85291173708,42048.5589034549,14441.606335852859,11673.041244370746,408.70005231292606,17133.473514285713,3073.295867951625,3100.69574314059,uniform56,56,56.0,2025-08-28,2025-08-22
2025-08-30,27392.315249907573,2254.254728643347,29646.569978550917,48016.39492781473,20667.27357890316,11836.117767738095,725.5548154421778,21398.074098758505,3100.69574314059,8550.0,uniform42,42,42.00000000000001,2025-08-29,2025-08-29
2025-08-31,50202.72169471714,924.4708603170627,51127.1925550342,79297.66114019568,22194.540947950787,17977.578167840136,253.01132086734776,8687.086597619049,8550.0,8550.0,uniform42,42,42.00000000000001,2025-08-30,2025-08-29
2025-09-01,50560.85445880697,38.51137071428525,50599.36582952126,80063.0603938679,22141.566989208026,17934.669261258503,16.52139455782293,22298.549527142855,8550.0,8550.0,uniform42,42,42.00000000000001,2025-08-31,2025-08-29
2025-09-02,48041.0712441993,19.675446110663778,48060.74669030996,76628.94003944947,21848.248473293017,17697.08126336735,4.632034013605562,18424.64901353741,8550.0,8550.0,uniform42,42,42.00000000000001,2025-09-01,2025-08-29
2025-09-03,46364.67981415182,137.68437211960938,46502.364186271436,74369.44159630364,21877.99763414378,17721.178083656458,40.53224221088453,14705.437038027208,8550.0,8550.0,uniform42,42,42.00000000000001,2025-09-02,2025-08-29
2025-09-04,42277.04222490566,481.4041246272513,42758.44634953291,66215.97470830582,15888.074007642566,17591.667555,140.38173717687044,14134.384442840137,8550.0,3302.9693235449736,uniform42,42,42.00000000000001,2025-09-03,2025-08-29
2025-09-05,19322.97968528596,559.6045150339974,19882.58420031996,34607.80149101138,14583.006960926343,11890.006486989792,118.01914406462612,25208.55849447279,3302.9693235449736,3216.5572695011333,uniform42,42,42.00000000000001,2025-09-04,2025-08-29
2025-09-06,20365.740563930864,1093.3643515649765,21459.10491549584,38290.475878674726,19561.35035840262,11584.595332857141,285.1253890476197,22877.762542176868,3216.5572695011333,7950.0,uniform42,42,42.00000000000001,2025-09-05,2025-09-05
2025-09-07,40910.24223853447,2363.971989839704,43274.21422837417,66291.61735120496,21439.929795099517,17366.343134030612,684.4241247108846,7941.471198180273,7950.0,7950.0,uniform42,42,42.00000000000001,2025-09-06,2025-09-05
2025-09-08,38544.24618842518,13634.685391965255,52178.93158039044,63254.69508841375,21368.40181567565,17308.405470697275,3264.758471275513,3063.8876813775505,7950.0,7950.0,uniform42,42,42.00000000000001,2025-09-07,2025-09-05
2025-09-09,39781.602036565775,5234.172688431037,45015.77472499681,65031.256360686355,21544.0046970299,17429.630979880953,1293.1113303741504,9107.159707244895,7950.0,7973.34758301474,uniform42,42,42.00000000000001,2025-09-08,2025-09-05
2025-09-10,40199.05789056225,10489.867473625287,50688.92536418754,65254.66497816725,21195.947479714872,17189.73028328231,2585.987071496598,2518.436203231294,7973.34758301474,7950.0,uniform42,42,42.00000000000001,2025-09-09,2025-09-05
2025-09-11,39373.33807703271,1834.0081478939883,41207.3462249267,62322.64481502708,16796.603171642735,17620.41308217687,468.4433048469384,10118.81224707483,7950.0,3488.7060965041574,uniform42,42,42.00000000000001,2025-09-10,2025-09-05
2025-09-12,18357.57966747745,1093.6012759820578,19451.18094345951,33408.99301433694,14818.53070712606,12042.010771666666,327.52571306122445,19408.342591938774,3488.7060965041574,3445.371764399093,uniform42,42,42.00000000000001,2025-09-11,2025-09-05
2025-09-13,21287.652145292977,1307.3217679947595,22594.973913287737,39902.14568998992,20635.41794910557,12120.523126734695,310.84650134353717,23690.995885629247,3445.371764399093,8550.0,uniform56,56,56.0,2025-09-12,2025-09-12
2025-09-14,42513.82705342553,3239.9421141076054,45753.76916753313,68616.84464243554,21760.188294952546,17625.752518911562,1029.1332788775528,5412.21739527211,8550.0,8550.0,uniform56,56,56.0,2025-09-13,2025-09-12
2025-09-15,40995.398614835634,4745.29607615593,45740.69469099156,66864.61329868984,21667.40770175107,17550.600238418367,1100.6368412414977,8781.412043265307,8550.0,8550.0,uniform56,56,56.0,2025-09-14,2025-09-12
2025-09-16,41103.646234855696,6409.7742219844995,47513.42045684019,66625.80745985534,21616.032995926766,17508.98672670068,2010.321532670069,5037.312739965989,8550.0,8550.0,uniform56,56,56.0,2025-09-15,2025-09-12
2025-09-17,42196.574518833455,2975.2582306077466,45171.83274944121,68378.26079418576,21690.990297451077,17569.702140935377,837.3484563265306,5134.202693996602,8550.0,8550.0,uniform56,56,56.0,2025-09-16,2025-09-12
2025-09-18,40442.27762558873,2296.664602109858,42738.94222769859,63600.012040797636,16403.237174624162,17493.42429418367,485.91150057823046,6220.059544268706,8550.0,3875.7753525132266,uniform56,56,56.0,2025-09-17,2025-09-12
2025-09-19,19365.744166790624,1010.2303883562104,20375.974555146837,34928.536584304195,15618.377672246363,12620.09541642432,342.614044064627,16171.516055880104,3875.7753525132266,3909.9870170634913,uniform56,56,56.0,2025-09-18,2025-09-12
2025-09-20,21932.500375611417,854.7945726439345,22787.294948255352,40658.324332461154,20692.65056263122,12585.035271088434,224.97191214285644,17130.24721972789,3909.9870170634913,8550.0,uniform56,56,56.0,2025-09-19,2025-09-19
2025-09-21,45189.861358198264,750.0190088463971,45939.880367044665,72451.6916288744,21852.30063460569,17700.363514030614,228.26960625850435,10240.536631224491,8550.0,8550.0,uniform56,56,56.0,2025-09-20,2025-09-19
2025-09-22,42571.62823965767,5694.754429937042,48266.382669594714,69066.91965419921,21622.0860739271,17513.88971988095,1566.5432853401346,5911.246702159866,8550.0,8550.0,uniform56,56,56.0,2025-09-21,2025-09-19
2025-09-23,43599.6352998,5122.775354571611,48722.410654371604,70464.22121091268,21699.820329365073,17576.854466785713,1179.5210842176878,5404.160849217685,8550.0,8550.0,uniform56,56,56.0,2025-09-22,2025-09-19
2025-09-24,44319.45269847088,1778.809810579773,46098.262509050655,71397.48070171117,21772.899070588726,17636.04824717687,541.6888974489796,6739.093675748299,8550.0,8550.0,uniform56,56,56.0,2025-09-23,2025-09-19
2025-09-25,43026.15076750924,2720.739819083032,45746.89058659227,67452.53232854707,16993.188538002854,17598.971002636055,742.140596955784,8465.006490136053,8550.0,4289.4574590513985,uniform56,56,56.0,2025-09-24,2025-09-19
2025-09-26,19963.83935785242,101.74006163136782,20065.579419483787,35749.33860477408,15941.500645964556,12924.442395765305,29.60914035714245,15067.645994931978,4289.4574590513985,4276.31648956916,uniform56,56,56.0,2025-09-25,2025-09-19
2025-09-27,22327.73758794015,763.958250219626,23091.69583815978,41041.8865722997,20635.73259051398,12868.62823892857,234.84199608843525,15708.321966802721,4276.31648956916,8550.0,uniform56,56,56.0,2025-09-26,2025-09-26
