name,days,initial_energy_kwh,final_energy_kwh,first_residual_index,seconds,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,h1_cost_yuan,h2_cost_yuan,saving_yuan,saving_percent
uniform56,2,8550.0,8550.0,0,0.12254571914672852,87990.65842655364,300.8997843028785,88291.55821085651,147704.00833247966,46429.93929983949,37608.25083286999,74.187526059524,26222.053508236368,88291.55821085651,0.0,0.0,0.0
half_life7,2,8550.0,8550.0,0,0.15149283409118652,82721.8067837258,785.7023740335272,83507.50915775931,139411.70568977852,45484.90070141624,36842.76956814715,190.17829282487773,18225.298966000977,83507.50915775931,0.0,4784.049053097202,5.4184671219325535
half_life14,2,8550.0,8550.0,0,0.1376657485961914,83992.62910673564,585.636673078411,84578.26577981404,141567.08687701027,45997.35314396594,37257.85604661242,140.29462749149687,20233.43052381491,84578.26577981404,0.0,3713.2924310424714,4.205716272641202
half_life28,2,8550.0,8550.0,0,0.13518524169921875,85398.86632997479,418.0014987678512,85816.86782874266,143868.5218672916,46200.79173002925,37422.641301323696,96.52282730897917,22452.440382561676,85816.86782874266,0.0,2474.690382113855,2.8028618276323067
online_primary,2,8550.0,8550.0,0,0.14403319358825684,82721.8067837258,785.7023740335272,83507.50915775931,139411.70568977852,45484.90070141624,36842.76956814715,190.17829282487773,18225.298966000977,83507.50915775931,0.0,4784.049053097202,5.4184671219325535
