日期,模型,计划购电费_元,紧急购电费_元,实际总成本_元,计划购电量_kWh,紧急购电量_kWh,紧急购电次数,弃电量_kWh,期初储能_kWh,期末储能_kWh,CVaR紧急成本_元,净负荷RMSE_kWh,净负荷MAE_kWh,80分位覆盖率,季度
2025-02-01,GBDT分位数主模型,25102.791832616538,140.00005620196725,25242.791888818505,46480.605421153276,32.25575593424355,3,13369.425740517818,6000.0,1200.0,1062.3719808374117,68.89890208933599,57.04039816243921,0.9583333333333334,Q1
2025-02-02,GBDT分位数主模型,63172.81130306129,54.68343183067577,63227.49473489197,98582.04432720301,16.0826780458583,2,15381.979770678201,1200.0,1200.0,3228.5387332584323,99.38625117729136,77.13674654147908,0.9513888888888888,Q1
2025-02-03,GBDT分位数主模型,62091.14470338669,35.56481690362854,62126.70952029032,96995.03827722953,6.671450398954562,2,11949.859551683763,1200.0,1200.0,3338.7688994406644,67.51419806305381,51.0159124704874,0.9027777777777778,Q1
2025-02-04,GBDT分位数主模型,61935.386241664964,146.59526619669504,62081.98150786166,96782.55416411307,61.887449453261524,4,10814.82617294628,1200.0,1200.0,4510.934456741869,55.17152419145548,47.45098683321372,0.9166666666666666,Q1
2025-02-05,GBDT分位数主模型,54970.62250460257,3540.6053489476953,58511.22785355027,87627.33214699321,950.1015022995957,42,3181.8935652447835,1200.0,1200.0,3701.8477052636563,39.402862655413784,27.642478338644608,0.7708333333333334,Q1
2025-02-06,GBDT分位数主模型,55746.69691717427,2164.6320856768034,57911.32900285107,88543.73166062727,624.7173298430596,39,4179.05844047034,1200.0,1200.0,3917.6918643495014,32.99928164150209,25.43175262663581,0.8263888888888888,Q1
2025-02-07,GBDT分位数主模型,25562.915277023174,221.22051512833056,25784.135792151505,49117.45863930716,51.60334991176421,4,13304.966876231958,1200.0,1200.0,1269.7246554952571,94.37630068665906,59.09814508410435,0.9444444444444444,Q1
2025-02-08,GBDT分位数主模型,23081.666174205788,1051.4422508326434,24133.10842503843,44722.03192450816,250.766732976101,20,9539.597448594992,1200.0,1200.0,1223.3465950008003,50.016076756984255,36.99474812733834,0.8402777777777778,Q1
2025-02-09,GBDT分位数主模型,53958.47340385908,5021.314679381478,58979.788083240564,86183.68820556457,1405.5247511064035,52,3354.384357351182,1200.0,1200.0,2197.7794769872253,44.98990703589241,29.464287273119787,0.5208333333333334,Q1
2025-02-10,GBDT分位数主模型,53058.33969884464,2405.0336888768215,55463.37338772146,85083.18304279979,594.0289636064686,37,6697.045590065105,1200.0,1200.0,3059.403069358544,48.19100078082306,33.59606175445466,0.875,Q1
2025-02-11,GBDT分位数主模型,55049.73905483911,1362.455435697916,56412.194490537026,87829.98664305394,316.67663842840955,26,8207.732814815692,1200.0,1200.0,2806.003808831611,50.37483436961305,35.571496567123596,0.9097222222222222,Q1
2025-02-12,GBDT分位数主模型,54775.00948941914,2190.4325179382295,56965.44200735737,87285.96951744711,530.2748936406883,34,7831.174944421149,1200.0,1200.0,2046.0636586565793,49.82208278898991,33.985887468877124,0.8680555555555556,Q1
2025-02-13,GBDT分位数主模型,54287.86031244198,1774.9745580199872,56062.83487046197,86569.62987944453,501.20930837781214,31,11099.920101048743,1200.0,1200.0,2172.8357075227655,79.59103833813406,52.935205006662486,0.8611111111111112,Q1
2025-02-14,GBDT分位数主模型,24402.13954106966,205.36435828155606,24607.503899351217,47109.27240228263,42.86550462857576,5,13436.466879349146,1200.0,1200.0,1340.480932225605,79.77901468633712,56.03346370434608,0.9236111111111112,Q1
2025-02-15,GBDT分位数主模型,20996.66406104705,1556.8510013824093,22553.51506242946,40507.67565790472,449.87334911172377,30,7977.738798247268,1200.0,1200.0,1894.3724929237683,41.856168701827016,31.762897162520048,0.875,Q1
2025-02-16,GBDT分位数主模型,51518.01741606077,6223.170732398497,57741.18814845927,82171.18158425544,2019.8940312854984,58,4100.006022891617,1200.0,1200.0,4365.886724611415,56.63085841887731,41.292733226290544,0.5694444444444444,Q1
2025-02-17,GBDT分位数主模型,51839.10578647998,1550.1153167752104,53389.22110325519,82983.12216331411,484.30908000551597,34,7620.233177703545,1200.0,1200.0,2898.2203926120446,44.19630789565283,32.15460413702859,0.7291666666666666,Q1
2025-02-18,GBDT分位数主模型,51029.916288675464,2431.3993242024153,53461.31561287788,81723.35629772136,667.145364255199,42,5762.318427989497,1200.0,1200.0,2722.990465769519,39.40895454783469,29.014694533894993,0.7083333333333334,Q1
2025-02-19,GBDT分位数主模型,52188.302236321586,2569.0923990131096,54757.3946353347,83505.71696485479,810.0625307095703,43,6718.118778897688,1200.0,1200.0,3247.1118842675974,49.79923909782904,35.10172982263626,0.6875,Q1
2025-02-20,GBDT分位数主模型,51707.99765978403,2934.9355890349025,54642.93324881893,82795.98648059924,809.8481413555617,44,7950.783310344492,1200.0,1200.0,3630.7721161478494,55.2372930779285,39.37024485622706,0.7361111111111112,Q1
2025-02-21,GBDT分位数主模型,20712.667594776005,1697.6371663336413,22410.304761109648,40037.060125266624,518.8396017759312,31,11159.144449122234,1200.0,1200.0,1296.5876197228822,58.045490438038435,42.25370101111977,0.8055555555555556,Q1
2025-02-22,GBDT分位数主模型,19559.31598045479,2583.65406186019,22142.97004231498,37934.15172111431,754.3209259798175,34,7145.8901732133945,1200.0,1200.0,2205.150140831575,43.21228019486235,33.104099535564586,0.8611111111111112,Q1
2025-02-23,GBDT分位数主模型,50866.45162357561,3575.456915250994,54441.9085388266,81829.94832783027,1049.0811467612812,52,6745.522172201329,1200.0,1200.0,3912.0423388128957,46.81828141911892,34.90004760292907,0.6805555555555556,Q1
