窗口天数,严格过去RMSE_kWh,严格过去MAE_kWh
14,77.35846666253832,52.503319164000395
28,79.30802287412462,55.23844835184639
56,94.46193880935132,68.28448940853856
84,109.3530646392787,80.83151943941184
112,119.77822500222564,89.69985159759057
334,140.4903416138309,105.50941025828655
