name,days,initial_energy_kwh,final_energy_kwh,first_residual_index,seconds,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,h1_cost_yuan,h2_cost_yuan,saving_yuan,saving_percent
uniform56,334,8315.124735378853,6000.0,0,37.83235001564026,13058937.976922976,867197.1463554986,13926135.123278474,21611454.716569357,6730658.71548447,6059789.16410538,232180.55251362242,3233576.2227372257,5806272.6268619355,8119862.496416539,0.0,0.0
half_life7,334,8315.124735378853,6000.0,0,40.69218349456787,13020413.782680778,944286.1959676297,13964699.978648406,21550930.50076674,6715182.822724237,6045860.860621171,251877.67627848894,3194296.7199754966,5814519.87830835,8150180.100340057,-38564.85536993109,-0.2769243227108096
half_life14,334,8315.124735378853,6000.0,0,40.84515953063965,13032661.514319671,890395.4842313526,13923056.998551024,21571682.744379062,6716174.196114433,6046753.096672348,237644.3674741413,3200716.517444453,5795595.141191008,8127461.857360016,3078.124727450311,0.022103223185771174
half_life28,334,8315.124735378853,6000.0,0,40.56123232841492,13044216.842424298,867975.3933306895,13912192.23575499,21588760.531807706,6718526.358706935,6048870.0430056,232001.92919190554,3211916.65033161,5793098.0480777845,8119094.187677204,13942.887523485348,0.1001202946837624
uniform28,334,8315.124735378853,6000.0,0,18.376537799835205,13039645.902202744,924781.1530684859,13964427.05527123,21588147.12255184,6713705.665567213,6044531.419179849,245061.2229680576,3224844.6041658707,5814139.274894973,8150287.780376257,-38291.9319927562,-0.2749645300277796
uniform42,334,8315.124735378853,6000.0,0,27.399914026260376,13048525.206591388,880407.1551979871,13928932.361789376,21595428.43548494,6722709.897318052,6052635.227755605,235189.76634674496,3221354.037302571,5801783.091910038,8127149.269879338,-2797.2385109011084,-0.020086251398102085
online_extended,334,8315.124735378853,6000.0,0,35.36748123168945,13017128.37855143,898912.608106384,13916040.986657813,21545276.500366442,6709402.219397526,6040658.317627132,239552.80554378545,3176895.909173167,5795087.181576479,8120953.805081334,10094.136620661244,0.07248340283434572
