date,span,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,1666.6666666666665,0.0
2025-03-20,04:00-08:00,1666.6666666666665,6698.730338087764
2025-03-20,08:00-12:00,5885.647947465985,3158.629323197168
2025-03-20,12:00-16:00,4882.536191124732,584.0060634467122
2025-03-20,16:00-20:00,0.0,6138.952397951598
2025-03-20,20:00-24:00,3064.9219880196524,2968.407263333333
2025-03-20,0:00储电量,8428.291754873715,
2025-03-20,24:00储电量,4107.6402998620215,
2025-06-21,00:00-04:00,2283.770030858922,0.0
2025-06-21,04:00-08:00,833.3333333333333,2649.347205680272
2025-06-21,08:00-12:00,5087.5137434523795,0.0
2025-06-21,12:00-16:00,3470.920194387755,0.0
2025-06-21,16:00-20:00,0.0,6485.353890315546
2025-06-21,20:00-24:00,7619.288512538812,2622.0057709693874
2025-06-21,0:00储电量,2516.2699266468635,
2025-06-21,24:00储电量,8428.291754873715,
2025-09-23,00:00-04:00,1666.6666666666665,0.0
2025-09-23,04:00-08:00,1653.7289577559723,6809.505305187075
2025-09-23,08:00-12:00,5823.444854647652,3036.210418078232
2025-09-23,12:00-16:00,4642.585403922902,312.06757142857134
2025-09-23,16:00-20:00,0.0,5937.369151472007
2025-09-23,20:00-24:00,7619.288512538812,3169.9905098129248
2025-09-23,0:00储电量,8428.291754873715,
2025-09-23,24:00储电量,8428.291754873715,
2025-12-21,00:00-04:00,1666.6666666666667,0.0
2025-12-21,04:00-08:00,2685.185185185183,2500.0
2025-12-21,08:00-12:00,5833.333333333333,8274.0263279516
2025-12-21,12:00-16:00,8333.333333333332,3642.6403387150667
2025-12-21,16:00-20:00,0.0,6076.934167118266
2025-12-21,20:00-24:00,7619.288512538812,3030.4254941666663
2025-12-21,0:00储电量,8428.291754873715,
2025-12-21,24:00储电量,8428.291754873715,
