date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,emergency_slots
2025-01-01,40890.47157165683,192086.95903032497,232977.43060198182,62316.032331687245,23573.99946502058,16799.939566666668,36514.41488333333,21.217300000000023,6000.0,8550.0,141
2025-01-02,95253.11998833,2681.802417224997,97934.92240555499,117323.24061666666,26499.999999999996,21464.999999999996,810.913416666666,20213.91476666666,8550.0,8550.0,37
2025-01-03,74815.07893259834,0.0,74815.07893259834,118852.86875833332,26499.999999999996,21464.999999999996,0.0,68312.92739166666,8550.0,8550.0,0
2025-01-04,72382.20543394506,0.0,72382.20543394506,117441.04736426611,26326.77533093278,21324.688018055553,0.0,67673.35768472221,8550.0,8550.0,0
2025-01-05,94825.21084874625,1061.5075308416663,95886.71837958792,116627.75871885574,26360.67350080018,21352.145535648146,319.2440333333334,20902.764487037035,8550.0,8550.0,21
2025-01-06,95068.18982849577,702.0157561006596,95770.20558459644,116824.31229190929,26389.561587534292,21375.544885902775,163.26659215277778,21341.08108243055,8550.0,8550.0,15
2025-01-07,76172.91226561386,11250.488016790589,87423.40028240446,98629.02250062666,25347.39712634888,20531.39167234259,2305.594808222222,3551.710904842593,8550.0,8550.0,45
2025-01-08,93946.07912648295,141.70832942499953,94087.78745590794,117877.07135245843,26002.56282991214,21062.075892228833,52.564616666666666,23463.14771477513,8550.0,8550.0,4
2025-01-09,93545.61241886606,259.3145584333344,93804.9269772994,117231.29581688889,25902.183709507943,20980.768804701434,109.23318333333373,21327.557978749053,8550.0,8550.0,8
2025-01-10,36280.64968579824,797.3792953041658,37078.028981102405,70892.87503536044,23166.666666666664,18765.0,244.43173333333277,21244.97338536045,8550.0,8550.0,11
2025-01-11,37090.61844594908,299.13633931198495,37389.75478526107,71192.37010029101,23166.666666666664,18764.999999999996,84.52995543650798,22009.34677239418,8550.0,8550.0,6
2025-01-12,90784.05685092897,597.227813356945,91381.28466428592,113915.74653941517,26011.649732598467,21069.43628340476,138.08022361111114,18245.72491383258,8550.0,8550.0,5
2025-01-13,89158.21478703922,834.1020619623237,89992.31684900154,113137.28295445573,25838.38377159321,20929.0908549905,224.63136156977941,20178.664432756133,8550.0,8550.0,11
2025-01-14,88613.31174468117,550.4591326022206,89163.77087728339,112901.90431198585,25804.39809744023,20901.562458926586,143.96647888888845,18862.72221902778,8550.0,8550.0,8
2025-01-15,88712.89844673684,245.61333945333357,88958.51178619017,112621.87480321858,25738.879142478156,20848.492105407306,39.874595,17701.019427814404,8550.0,8550.0,6
2025-01-16,88343.95648861365,169.89851818416875,88513.8550067978,113183.94136889433,25877.867913592378,20961.073010009826,25.887886666666873,19218.882901978457,8550.0,8550.0,4
2025-01-17,32990.76508942625,199.80565379527752,33190.57074322153,65135.30965999274,23262.473624650527,18842.60363596693,68.02309888888874,18094.349303531366,8550.0,8550.0,5
2025-01-18,32397.362146462434,158.88594217749974,32556.24808863993,64666.60438005936,23161.586449757495,18760.88502430357,77.38501166666657,17100.77894960544,8550.0,8550.0,5
2025-01-19,85286.1232822959,60.40652949036021,85346.52981178625,109551.26889109575,25666.666666666664,20790.0,18.049624836601424,16009.512382599021,8550.0,8550.0,2
2025-01-20,84429.59801839426,79.65197014576903,84509.24998854002,108920.02401769006,25666.666666666664,20790.0,12.194035763227248,15988.474836786621,8550.0,8550.0,3
2025-01-21,82735.82035243906,161.10156118999907,82896.92191362905,109002.76340088228,25666.666666666664,20789.999999999996,54.41857999999979,20704.610630882275,8550.0,8550.0,6
2025-01-22,81569.08057190242,462.3862271799278,82031.46679908235,105997.45008520893,25666.666666666664,20789.999999999996,110.23195455357074,12332.251006429167,8550.0,8550.0,8
2025-01-23,82863.42509465592,730.0601457866151,83593.48524044253,106178.61623981777,25666.666666666664,20790.0,153.51549102418738,11889.539464175296,8550.0,8550.0,5
2025-01-24,28954.800245627048,166.1997331738818,29120.99997880093,60745.175462668114,22099.98745337242,17900.989837231664,52.65035122655121,16769.415047753908,8550.0,8550.0,7
2025-01-25,28516.190806175284,129.78956033888895,28645.980366514174,60252.28367588293,21765.45439669684,17630.018061324445,22.000477777777746,17699.272351621647,8550.0,8550.0,2
2025-01-26,80549.25777262406,653.7124180063969,81202.97019063045,104850.50370213228,25666.666666666664,20790.0,193.40260050666134,12468.249602638949,8550.0,8550.0,6
2025-01-27,74152.56513202265,417.2041995239287,74569.76933154657,99930.37522615737,25616.557182280358,20749.41131764709,71.68468413258643,10939.997262323353,8550.0,8550.0,7
2025-01-28,73133.02983996186,855.5372245587125,73988.56706452057,99059.16589431664,25609.313400102375,20743.543854082924,156.7832087008259,7369.780190331353,8550.0,8550.0,12
2025-01-29,72543.17577526336,257.66620474789295,72800.84198001125,99735.05584503782,25570.641897323647,20712.219936832156,64.64822566211035,13556.081060208442,8550.0,8550.0,6
2025-01-30,72169.40489869998,255.7043600262126,72425.1092587262,98652.84995229125,25357.61030474557,20539.664346843914,34.2640244968822,10126.585235553146,8550.0,8550.0,3
2025-01-31,24221.00759172079,986.6741512512205,25207.681742972014,53394.33840340314,21427.124349723665,17355.970723276172,216.52264347789145,10775.38437043354,8550.0,8550.0,12
