planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,mode,source,update_hours,days,initial_energy_kwh,final_energy_kwh,seconds
13012396.949224172,0.0,0.0,0.0,0.0,898233.7434477481,13910630.692671921,21537732.857887812,21537732.857887812,0.0,0.0,239933.78577859126,3167290.621099777,B_aligned,history,[0],334,6000.0,6000.0,40.773735761642456
12913686.344839057,0.0,0.0,0.0,0.0,795634.2811618497,13709320.626000907,21364342.653773822,21364342.653773822,0.0,0.0,213451.01912523882,2972076.9262318183,only_0,fusion,[0],334,6000.0,6000.0,46.11365222930908
12910110.607024042,91484.35619182227,98358.90996894756,49179.45498447378,42304.90120734849,682030.5385152051,13634446.046746597,21345838.87402729,21285565.418527313,101278.71929098057,161552.17479095297,182370.81717073903,2866142.4781722287,at_0_6,fusion,"[0, 6]",334,6000.0,6000.0,83.65076851844788
12897645.550047109,87355.61888577437,146784.325811618,73392.162905809,13963.455979965347,646333.7974826791,13557942.803509753,21319357.04647152,21170805.058055107,95505.50083052192,244057.48924693663,171964.76856045699,2741707.5881174323,at_0_6_12,fusion,"[0, 6, 12]",334,6000.0,6000.0,96.73408198356628
12896389.809953831,87543.83422858079,146686.94493268867,73343.47246634433,14200.361762236444,647706.9952440583,13558297.166960124,21317671.081015535,21169375.39737642,95599.71307424843,243895.39671336274,172211.4507743444,2740766.1635266766,all,fusion,"[0, 6, 12, 18]",334,6000.0,6000.0,125.96993637084961
