date,span,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,1629.4020166666705,0.0
2025-03-20,04:00-08:00,1169.0873641465446,6793.041898345638
2025-03-20,08:00-12:00,5783.209229273481,2616.496390671184
2025-03-20,12:00-16:00,4860.743318600408,472.7048791927688
2025-03-20,16:00-20:00,4.4810820441327905,6141.7989302334445
2025-03-20,20:00-24:00,2992.353828096077,2987.7424291666666
2025-06-21,00:00-04:00,386.3175406186206,0.0
2025-06-21,04:00-08:00,833.3333333333334,2306.8301728393426
2025-06-21,08:00-12:00,6036.220560053472,0.0
2025-06-21,12:00-16:00,4109.716493162547,23.98368660948334
2025-06-21,16:00-20:00,0.5486253648227815,6462.888445774775
2025-06-21,20:00-24:00,7910.17875258511,2661.5958481301614
2025-09-23,00:00-04:00,1501.226439166665,0.0
2025-09-23,04:00-08:00,1425.3526244716836,6803.448810386833
2025-09-23,08:00-12:00,5749.707083102644,2667.079220936197
2025-09-23,12:00-16:00,4560.084339385542,362.5553103198813
2025-09-23,16:00-20:00,52.081427162341015,5960.8621529639095
2025-09-23,20:00-24:00,7868.929872723999,3207.1396225547687
2025-12-21,00:00-04:00,1608.905198333332,0.0
2025-12-21,04:00-08:00,2601.9584122899537,2609.9579277782486
2025-12-21,08:00-12:00,5861.365077124941,7969.175225866061
2025-12-21,12:00-16:00,8117.254027915007,3595.7431982484904
2025-12-21,16:00-20:00,15.606393811423183,6064.223435864817
2025-12-21,20:00-24:00,7688.099880409185,3063.2484863878403
