日期,计划购电量kWh,紧急购电量kWh,计划购电费元,紧急购电费元,合计购电费元,紧急时段数,0:00储电量kWh,24:00储电量kWh,充电量kWh,放电量kWh,计划净供给kWh,弃置电量kWh
2025-11-23,86137.3548,324.9275,54419.30,1267.82,55687.13,26,8550.0000,8550.0000,24625.6048,19946.7399,81458.4899,6226.3936
2025-11-24,86224.6807,199.1601,54447.74,669.24,55116.99,20,8550.0000,8550.0000,24576.7828,19907.1940,81555.0920,7393.1483
2025-11-25,86032.7232,208.6190,54294.69,726.51,55021.20,20,8550.0000,8550.0000,24721.5820,20024.4814,81335.6226,5166.9622
2025-11-26,86099.2737,198.6561,54340.60,751.41,55092.01,18,8550.0000,8550.0000,24535.0556,19873.3950,81437.6131,4679.9462
2025-11-27,85000.9372,304.2443,53950.11,1159.85,55109.96,16,8550.0000,7574.4069,23485.0081,19900.8904,81416.8194,5635.9267
2025-11-28,40714.1234,166.3609,21534.32,622.95,22157.27,17,7574.4069,7574.4281,19665.2709,15928.8503,36977.7029,6056.4643
2025-11-29,42283.5871,1360.6082,22178.86,4043.24,26222.10,38,7574.4281,8550.0000,20907.5140,16057.0716,37433.1447,2503.6946
2025-11-30,87763.4179,466.1631,55644.66,1640.78,57285.44,33,8550.0000,8550.0000,24761.1862,20056.5608,83058.7925,2813.9644
2025-12-01,88503.2322,4308.1145,56107.38,15289.61,71396.98,81,8550.0000,8550.0000,24833.3333,20115.0000,83784.8988,0.0000
2025-12-02,90576.9520,3847.5592,57648.56,14393.14,72041.69,99,8550.0000,8550.0000,24948.7850,20208.5158,85836.6828,0.0000
2025-12-03,93205.2999,1544.2511,59556.16,4667.97,64224.13,62,8550.0000,8550.0000,25210.0240,20420.1194,88415.3953,1252.6468
2025-12-04,94985.3146,1217.0476,60828.43,4396.03,65224.46,53,8550.0000,8550.0000,25372.1570,20551.4472,90164.6048,3393.3960
2025-12-05,51187.7776,419.0646,26915.66,1456.69,28372.35,25,8550.0000,8550.0000,21529.7078,17439.0633,47097.1331,5785.5054
2025-12-06,53209.9690,531.7993,28073.94,1744.41,29818.35,26,8550.0000,8550.0000,21662.1018,17546.3025,49094.1697,5429.5389
2025-12-07,99429.6206,248.4811,64036.59,1036.15,65072.74,21,8550.0000,8550.0000,25666.6667,20790.0000,94552.9539,6900.2727
2025-12-08,100972.8913,65.4440,65072.57,345.02,65417.59,8,8550.0000,8550.0000,25666.6667,20790.0000,96096.2247,8249.0136
2025-12-09,100724.1460,135.7554,64905.68,624.83,65530.51,15,8550.0000,8550.0000,25666.6667,20790.0000,95847.4794,8459.0251
2025-12-10,99758.8876,143.4874,64232.85,536.35,64769.20,19,8550.0000,8550.0000,25666.6667,20790.0000,94882.2210,6494.6025
2025-12-11,99576.9436,139.0536,64204.65,422.65,64627.30,10,8550.0000,8550.0000,25666.6667,20790.0000,94700.2770,8739.0223
2025-12-12,52809.3473,484.4470,27884.53,1499.03,29383.56,24,8550.0000,8550.0000,21648.1426,17534.9955,48696.2002,4981.7867
2025-12-13,53171.3405,184.9151,28011.01,802.85,28813.86,20,8550.0000,8550.0000,21631.0748,17521.1706,49061.4363,5262.9029
2025-12-14,99114.7337,278.7865,63771.61,1151.69,64923.29,18,8550.0000,8550.0000,25666.6667,20790.0000,94238.0670,5459.3452
2025-12-15,100617.0462,246.4765,64674.27,867.32,65541.58,19,8550.0000,8550.0000,25666.6667,20790.0000,95740.3795,6270.8215
2025-12-16,100591.2594,139.8149,64753.15,476.40,65229.54,11,8550.0000,8550.0000,25666.6667,20790.0000,95714.5927,6296.5014
2025-12-17,100322.2282,343.5895,64417.90,1333.64,65751.54,19,8550.0000,8550.0000,25655.7241,20781.1365,95447.6406,7255.7935
2025-12-18,99591.0915,211.2726,64073.15,536.57,64609.72,15,8550.0000,8550.0000,25544.4215,20690.9814,94737.6514,7371.3845
2025-12-19,53439.8662,216.0080,28197.85,1013.06,29210.91,22,8550.0000,8550.0000,21593.2844,17490.5604,49337.1422,6428.7509
2025-12-20,53308.6090,137.7305,28084.58,479.16,28563.74,10,8550.0000,8550.0000,21613.7790,17507.1610,49201.9910,6345.6387
2025-12-21,98935.4183,559.5389,63572.16,1933.80,65505.96,21,8550.0000,8550.0000,25574.4789,20715.3279,94076.2673,5038.4854
2025-12-22,100600.2791,214.3627,64634.87,868.52,65503.39,13,8550.0000,8550.0000,25555.8431,20700.2329,95744.6689,6807.2418
2025-12-23,100288.5965,69.7547,64517.22,328.02,64845.23,6,8550.0000,8550.0000,25663.8153,20787.6904,95412.4716,8154.3791
2025-12-24,99142.8305,155.3486,63594.79,577.86,64172.65,14,8550.0000,8550.0000,25666.6667,20790.0000,94266.1638,6411.6045
2025-12-25,98404.8303,335.7279,63267.75,986.76,64254.51,22,8550.0000,8550.0000,25632.5033,20762.3277,93534.6546,5722.2061
2025-12-26,52297.2130,151.2384,27578.19,392.69,27970.88,18,8550.0000,8550.0000,21597.5898,17494.0477,48193.6710,5186.0485
2025-12-27,52110.8350,243.4484,27352.50,1060.57,28413.07,15,8550.0000,8550.0000,21697.5513,17575.0166,47988.3002,4649.4912
2025-12-28,97874.7605,282.1287,62840.48,1041.31,63881.79,23,8550.0000,8550.0000,25589.5361,20727.5243,93012.7487,6203.4939
2025-12-29,99074.6032,190.3077,63550.41,782.93,64333.34,13,8550.0000,8550.0000,25488.5910,20645.7587,94231.7709,6708.0046
2025-12-30,98461.6827,90.9604,63156.13,345.91,63502.04,8,8550.0000,8550.0000,25570.4980,20712.1034,93603.2881,7378.8855
2025-12-31,94539.9405,542.5572,60983.50,2225.88,63209.37,33,8550.0000,6000.0000,22535.1026,20548.4331,92553.2710,3906.8481
