date,span,emergency_kwh
2025-03-20,00:20-00:30,22.455833333333544
2025-03-20,01:00-02:00,82.55226722222199
2025-03-20,02:30-02:40,0.5766283333332467
2025-03-20,03:00-03:40,111.77102500000012
2025-03-20,04:50-05:20,81.17810996502044
2025-03-20,05:50-06:00,19.46466666666663
2025-03-20,06:50-07:00,2.950281107464207
2025-03-20,08:00-09:20,341.0109350547694
2025-03-20,09:40-10:00,80.43374698683449
2025-03-20,10:20-10:30,17.885556262744686
2025-03-20,10:50-12:00,461.660355493263
2025-03-20,12:30-13:40,199.12064352177495
2025-03-20,14:00-14:20,32.32063743679799
2025-03-20,14:50-15:00,7.468373372067504
2025-03-20,15:30-16:20,101.44154656461876
2025-03-20,16:40-17:00,27.471375013802003
2025-03-20,18:40-19:20,127.95492249556344
2025-03-20,19:30-20:20,93.08662767411067
2025-03-20,21:10-21:40,68.96584083333323
2025-03-20,23:30-23:50,60.49041250000005
2025-06-21,00:10-00:30,74.71615249999996
2025-06-21,01:20-02:20,122.99583500000023
2025-06-21,02:50-03:30,149.64563613127808
2025-06-21,03:50-04:10,13.899999533965001
2025-06-21,17:20-17:40,11.988638963936808
2025-06-21,18:50-19:10,105.07858669918608
2025-06-21,20:20-20:40,52.87218763592
2025-06-21,21:40-22:40,126.07670500000052
2025-09-23,00:30-01:20,111.02124500000025
2025-09-23,01:40-02:30,112.3722200000002
2025-09-23,03:40-04:00,34.83998916666678
2025-09-23,04:50-05:20,67.28177750000032
2025-09-23,05:30-05:50,29.40777471519391
2025-09-23,06:10-06:30,25.547949367304795
2025-09-23,06:50-07:10,12.935828969698491
2025-09-23,07:40-08:00,23.598693430721937
2025-09-23,09:30-09:50,24.147032098017476
2025-09-23,10:00-10:20,5.583180138780543
2025-09-23,10:50-11:00,31.33860376763141
2025-09-23,11:30-11:50,22.710313197234655
2025-09-23,12:50-13:00,0.16029900852373657
2025-09-23,13:50-14:00,14.30501733550426
2025-09-23,14:20-15:20,209.74458843870732
2025-09-23,15:50-16:50,260.9873710097479
2025-09-23,17:10-17:50,73.22472765568841
2025-09-23,18:00-18:50,195.57347411909404
2025-09-23,19:10-19:30,82.26721858399878
2025-09-23,19:50-22:00,553.210442710982
2025-09-23,22:10-22:40,85.47332249999954
2025-09-23,23:10-23:40,122.10756916666674
2025-12-21,00:00-00:20,7.920687500000099
2025-12-21,01:00-01:20,57.6183074999999
2025-12-21,01:30-01:40,11.184829166666532
2025-12-21,02:10-02:20,15.66307166666661
2025-12-21,02:40-02:50,0.879267499999969
2025-12-21,03:00-03:20,37.483759166666346
2025-12-21,03:30-03:50,144.78692083333328
2025-12-21,04:00-04:20,11.398634616381628
2025-12-21,05:40-06:30,85.35019275710226
2025-12-21,07:10-07:20,2.5658006356355827
2025-12-21,07:50-08:00,2.0283773712718585
2025-12-21,08:40-09:00,22.62835534854446
2025-12-21,09:30-09:50,39.02845898795073
2025-12-21,10:20-11:50,565.3149966392928
2025-12-21,12:00-12:20,39.04162312452645
2025-12-21,12:40-13:10,88.79739485283918
2025-12-21,15:20-15:30,12.161486877561288
2025-12-21,16:20-16:30,8.88798325983987
2025-12-21,17:20-17:30,0.24266666666699166
2025-12-21,18:00-18:20,11.268456169161595
2025-12-21,18:40-19:00,29.95541890476602
2025-12-21,19:40-20:10,87.91654659551989
2025-12-21,21:50-22:00,6.025999999999954
2025-12-21,22:50-23:00,7.507916666666574
2025-12-21,23:30-23:40,1.5602158333334728
