date,span,charge_kwh,discharge_kwh
2025-03-20,00:00-04:00,7500.0,0.0
2025-03-20,04:00-08:00,2619.288512538812,6740.269020529107
2025-03-20,08:00-12:00,5458.4226273678505,2367.0906407558236
2025-03-20,12:00-16:00,5049.779743951123,350.0224729021444
2025-03-20,16:00-20:00,1.7921860632807516,7639.334708741885
2025-03-20,20:00-24:00,849.675854259259,2234.346188833333
2025-06-21,00:00-04:00,0.0,0.0
2025-06-21,04:00-08:00,2340.9275469377158,2106.8347922439443
2025-06-21,08:00-12:00,6036.220560053472,0.0
2025-06-21,12:00-16:00,4604.83916805242,469.59409401036896
2025-06-21,16:00-20:00,0.42323154758054216,6561.900846984467
2025-06-21,20:00-24:00,856.9260298582412,3317.0731495657037
2025-09-23,00:00-04:00,6785.955179205479,0.0
2025-09-23,04:00-08:00,3333.3333333333335,6896.5114919068
2025-09-23,08:00-12:00,5539.746233680747,2211.1709586168317
2025-09-23,12:00-16:00,4866.282427164764,266.20589594812463
2025-09-23,16:00-20:00,39.452358347409586,6787.4169571311195
2025-09-23,20:00-24:00,736.7942196296302,3010.1020726223514
2025-12-21,00:00-04:00,10119.288512538813,0.0
2025-12-21,04:00-08:00,1661.3386278651624,2387.9328127664453
2025-12-21,08:00-12:00,5833.333333333334,8107.271952312201
2025-12-21,12:00-16:00,8248.683943804794,3688.9004708009606
2025-12-21,16:00-20:00,38.1912431277359,5892.044460217592
2025-12-21,20:00-24:00,2530.8436023148142,5512.361640588984
