date,interval,emergency_kwh
2025-03-20,00:20—00:30,10.637250000000108
2025-03-20,01:10—01:40,32.719273333333604
2025-03-20,03:00—03:30,67.31958750000001
2025-03-20,04:50—05:10,47.52196074829965
2025-03-20,05:50—06:00,6.724583333333499
2025-03-20,09:00—09:10,17.37619513605432
2025-03-20,12:30—12:50,3.2848641496596827
2025-03-20,15:30—16:20,199.58106189767614
2025-03-20,16:30—17:20,61.320816743197724
2025-03-20,18:40—19:10,78.09194207482994
2025-03-20,20:00—20:20,43.60101416666657
2025-03-20,21:10—21:30,40.06808333333345
2025-03-20,23:30—23:50,23.20363583333335
2025-06-21,00:20—00:30,36.51008333333334
2025-06-21,01:20—01:30,16.722999999999843
2025-06-21,02:00—02:10,10.399128333333408
2025-06-21,02:50—03:30,90.62543982993202
2025-06-21,18:50—19:10,78.16862530612252
2025-06-21,20:20—20:30,15.05375000000015
2025-06-21,22:00—22:30,63.80887333333351
2025-09-23,00:30—00:50,10.003154166666604
2025-09-23,01:00—01:10,5.360070000000178
2025-09-23,02:00—02:20,52.78933416666655
2025-09-23,03:50—04:00,9.697499999999993
2025-09-23,04:50—05:10,31.666690187074778
2025-09-23,05:40—05:50,7.0108858673469285
2025-09-23,10:00—10:20,4.62177365646207
2025-09-23,14:30—15:20,260.8953630102045
2025-09-23,15:50—16:50,122.31320848639439
2025-09-23,17:30—17:40,16.924630136054247
2025-09-23,18:10—18:50,96.79053156462658
2025-09-23,19:10—19:30,41.846628911564835
2025-09-23,19:50—20:30,140.1679780272109
2025-09-23,20:50—21:10,105.00704333333351
2025-09-23,21:20—22:00,54.89887416666636
2025-09-23,22:20—22:30,57.72024999999985
2025-09-23,23:10—23:40,46.50441333333322
2025-12-21,01:00—01:20,26.83295166666676
2025-12-21,03:00—03:10,13.556052499999964
2025-12-21,03:30—03:50,103.82004499999994
2025-12-21,05:50—06:00,4.793583333333231
2025-12-21,06:10—06:30,34.39310748299306
2025-12-21,10:30—11:30,259.80418100340177
2025-12-21,15:20—15:30,11.523092261904708
2025-12-21,18:40—19:00,8.15177877551048
2025-12-21,19:40—20:10,63.76248333333308
