date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,energy_start_kwh,energy_end_kwh,chosen_candidate,sample_count,effective_sample_count,max_history_day,selection_last_observed_day
2025-05-28,37541.4713876585,3364.4750673953863,40905.94645505389,62335.27257239712,19072.659160787767,15448.853920238094,1163.960799257996,7601.604031105444,7950.0,7950.0,half_life28,56,48.47702887423008,2025-05-27,2025-05-23
2025-05-29,34871.716748573424,4061.328728356286,38933.04547692971,55558.31376422041,12365.608611006133,15652.487864353741,1027.2577467176868,5762.327264285716,7950.0,1687.3945672902496,half_life28,56,48.47702887423008,2025-05-28,2025-05-23
2025-05-30,15202.870820275468,1746.8295521698262,16949.700372445295,28686.135957331397,12710.314963487868,10241.860978095237,482.7131025850329,20104.161807857137,1687.3945672902496,1746.8325032123957,half_life28,56,48.47702887423008,2025-05-29,2025-05-23
2025-05-31,18147.048586277582,1379.7553540372296,19526.80394031481,35667.86721908436,19528.227195935164,10235.013281598638,489.05620515306146,18474.527959900897,1746.8325032123957,7950.0,uniform56,56,56.0,2025-05-30,2025-05-30
2025-06-01,38638.36351772846,45880.37106728087,84518.73458500933,64555.53399742021,20690.512072709327,16219.314778894557,12031.4492167517,890.9596203571425,7950.0,8550.0,uniform56,56,56.0,2025-05-31,2025-05-30
2025-06-02,40732.251501816674,32980.77792961907,73713.02943143575,67747.80052382161,20924.37972902893,16948.747580513438,8059.268391649659,3190.6293169557803,8550.0,8550.0,uniform56,56,56.0,2025-06-01,2025-05-30
2025-06-03,43088.84947319591,13868.28182196944,56957.13129516535,70971.13172887165,21630.239790147178,17520.49423001922,3250.861428843539,1919.8807642539125,8550.0,8550.0,uniform56,56,56.0,2025-06-02,2025-05-30
2025-06-04,45445.93825689908,10876.142492372324,56322.0807492714,74277.41439715897,21815.03527845931,17670.17857555204,3137.154786700679,3624.4516642857134,8550.0,8550.0,uniform56,56,56.0,2025-06-03,2025-05-30
2025-06-05,44467.59576221279,6025.892139054247,50493.48790126704,69793.20498488325,15193.67108110775,18118.549806887757,1668.1679096258497,3236.9336036224504,8550.0,2092.5819653439157,uniform56,56,56.0,2025-06-04,2025-05-30
2025-06-06,20984.336719743696,6551.678971487078,27536.015691230772,36558.68815037772,13466.979531347108,10789.003961411565,1613.9776999829937,4639.694880425168,2092.5819653439157,2225.0813642101284,uniform56,56,56.0,2025-06-05,2025-05-30
2025-06-07,26471.29824470894,2245.91231368593,28717.210558394872,47791.85809913937,20764.1212164693,11126.511413129252,584.4842645068035,7612.219393639456,2225.0813642101284,8550.0,half_life14,56,35.65033461170832,2025-06-06,2025-06-06
2025-06-08,57704.31282574366,0.0,57704.31282574366,91049.44358826298,24730.39557365415,20031.620414659865,0.0,21165.745162602034,8550.0,8550.0,half_life14,56,35.65033461170832,2025-06-07,2025-06-06
2025-06-09,55908.44752099451,466.2679601798138,56374.715481174324,88466.2792826371,24160.39503222894,19569.919976105437,188.0648630442182,13131.156356224488,8550.0,8550.0,half_life14,56,35.65033461170832,2025-06-08,2025-06-06
2025-06-10,55915.07730435369,531.1122551830459,56446.18955953674,88368.48723397203,24334.842846182917,19711.222705408163,202.34457108843588,12328.767430952379,8550.0,8550.0,half_life14,56,35.65033461170832,2025-06-09,2025-06-06
