date,uniform56,half_life7,half_life14,half_life28
2025-01-01,,,,
2025-01-02,,,,
2025-01-03,,,,
2025-01-04,,,,
2025-01-05,,,,
2025-01-06,,,,
2025-01-07,,,,
2025-01-08,3666.188435805968,3666.188435805968,3666.188435805968,3666.188435805968
2025-01-09,3362.3365941619195,3200.7108805721746,3362.3365941619195,3362.3365941619195
2025-01-10,3404.202334516609,3201.284709696459,3272.0777422621977,3404.202334516609
2025-01-11,2947.614625243957,2970.781054083699,2970.781054083699,2970.781054083699
2025-01-12,2989.68411928163,2896.287027266604,3001.764131876587,2990.74063413963
2025-01-13,3307.472755203417,3042.1726168696455,3309.0296550144167,3307.472755203417
2025-01-14,3016.4662521514774,2700.7674108914125,2845.180590655589,3016.4662521514774
2025-01-15,2758.2562347291464,2226.657181385499,2438.554499024858,2439.691907659614
2025-01-16,2628.671007843566,2353.9133153427933,2640.7957888637548,2640.7957888637548
2025-01-17,2760.2801908852375,1480.677176461329,2558.8908977675783,2763.1538127339377
2025-01-18,2661.73416004354,1465.8444223562108,2374.788375051445,2661.79403615074
2025-01-19,2462.697372317165,1294.151776015292,2172.5506282892284,2182.6803190531755
2025-01-20,2475.8734680141715,1194.723155618337,1304.5597756441803,2177.5562082368024
2025-01-21,2923.7906994392574,1814.5657004053305,1981.7475128322628,2925.7080243021687
2025-01-22,2017.7368387547233,1164.195782976278,1190.937362797087,1185.3353319521684
2025-01-23,2003.1403309541674,1138.5474947446905,1146.906868469465,1228.075499820671
2025-01-24,2520.430548192321,1286.2586797974095,1451.185734168028,1605.849699989567
2025-01-25,2724.88086957018,1365.5134980713724,1515.4881479009869,1788.3736522375848
2025-01-26,1244.157322023766,1034.451534605407,1087.851640594838,1188.5627711359598
2025-01-27,1682.2415146014503,1284.9823963193185,1356.3069010474524,1467.5649178678614
2025-01-28,1135.6263094648334,1060.723351344018,1007.7340013424382,1037.847950218737
2025-01-29,2133.3113754806477,1636.0149508049667,1726.88023225064,1889.7234873952123
2025-01-30,1466.9863973872211,1145.2452439535052,1150.395038995653,1191.9149217783654
2025-01-31,1394.6283982648006,1271.2183530056118,1254.2449855879922,1286.1395483533138
2025-02-01,1636.5081617382446,1301.835918988741,1380.0617567155527,1475.9754428438487
2025-02-02,1773.2230992970763,1344.6247325239551,1461.160381656629,1582.7471536235691
2025-02-03,1281.4232543496719,918.4911071544444,979.441203561397,1052.602981407058
2025-02-04,1211.9355490122043,1380.0479090391132,1280.2620638879696,1203.1384654171775
2025-02-05,1081.2715916123998,1068.7190003709286,1033.1232216643423,1045.9920201362297
2025-02-06,950.086310559889,1039.245194711936,955.3249644160492,947.0019559703187
2025-02-07,1482.3625405216533,1423.6523698945,1403.3561761218962,1419.8922971627726
2025-02-08,1235.979626588673,1167.200617640296,1169.7684849406774,1146.5587551751944
2025-02-09,1064.6433021743007,1130.4236382771728,1091.2304785720885,1083.3965231844259
2025-02-10,1526.991770535034,1404.168419301172,1393.0973268126118,1451.7969902990274
2025-02-11,1189.8076833727253,1046.5154719990985,1043.9190797252936,1105.0667636274125
2025-02-12,1245.1318491878253,1143.25203816104,1153.0883498820995,1154.9921814424597
2025-02-13,1709.022671833033,1504.0446725191848,1522.1316097329652,1579.4665100211066
2025-02-14,1212.1689614420638,1304.0268708616777,1253.8867343846027,1234.4920949422722
2025-02-15,993.5530036736106,1068.312659605108,1027.7639886083264,1002.0826153390499
2025-02-16,1133.9690855011654,1282.0077677246006,1198.9539941349162,1160.8250574214364
2025-02-17,1180.1277187167743,1087.4671411709548,1055.0752418286675,1086.6258000114763
2025-02-18,1056.5483228968058,1099.9562552985738,1037.7043308867542,1030.8913729155333
2025-02-19,1189.2180240693801,1272.2004935648683,1245.3349590253854,1207.1827942951732
2025-02-20,1232.980830691424,1234.683960518604,1223.130716012444,1209.135787777303
2025-02-21,1084.8136732241142,1121.61997880111,1083.0781885891388,1060.1387693803536
2025-02-22,1081.2022622025206,1368.3794608826988,1292.5602840067643,1211.4817058962858
2025-02-23,1169.8065762190492,1214.0015985737518,1228.8576742298126,1191.3197632000447
2025-02-24,1296.9285748097213,1299.6088335651875,1250.5536262162889,1240.6256343427754
2025-02-25,1591.0470489743243,1633.522903926731,1574.3319092217557,1554.0636231461742
2025-02-26,1195.143346350318,1268.0192793701665,1242.0858231061443,1220.0228791172563
2025-02-27,1232.3054017593718,1204.0390826533928,1192.0737073022324,1203.3116366637091
2025-02-28,1144.9274824417257,1317.7042038998823,1210.75644536101,1172.298670015537
2025-03-01,2054.7819809371003,2029.8343879067843,2017.3966191990455,2040.3857864456345
2025-03-02,3132.4296114533413,3128.275583978545,3172.2257741748253,3129.724164077571
2025-03-03,2556.11711287481,2127.116918748975,2344.7318381153664,2459.142264488081
2025-03-04,1077.8442963240857,1002.0930319509208,993.6625024558322,1016.5389953682867
2025-03-05,1129.1605962295707,1401.5577532970178,1271.782244834873,1179.822424257044
2025-03-06,1115.1396537118453,1328.1343051959961,1214.6298876193714,1154.5115989031408
2025-03-07,997.2720068049063,1133.931947464861,1063.6505932124137,1016.7255808329749
2025-03-08,1287.3035978070398,1436.6236347369081,1382.2176426799924,1345.996747008352
2025-03-09,1253.2834435734123,1393.8260033626498,1349.2502791755107,1321.2163004520175
2025-03-10,1667.4813986838953,1579.3425212950415,1565.069947341959,1594.3777796425084
2025-03-11,1244.8538826437189,1294.3884879933635,1258.6813733493723,1240.479144117683
2025-03-12,1268.5594403762666,1398.972710388623,1354.7338637769167,1315.601526692584
2025-03-13,2251.197545478855,2143.5369447971225,2166.0055880833884,2200.3792060836417
2025-03-14,1432.7807566968643,1563.2841251930215,1497.8698229602119,1449.742991513017
2025-03-15,1801.828611506066,1595.6804575121432,1666.5396585432013,1719.0631281150888
2025-03-16,1326.8395699703483,1481.8903675917813,1380.1833899592827,1356.2626774964433
2025-03-17,1680.3225029391208,1907.3957785483117,1802.014082206339,1762.1366380509407
2025-03-18,1681.7587066103683,1784.1285976361253,1693.0922583447104,1680.7400742837078
2025-03-19,1396.2199794900507,1425.994291441188,1437.8169716705577,1426.9673463242102
2025-03-20,1108.0499801406504,1141.1252374900848,1111.6563704566777,1117.5920548054946
2025-03-21,1360.6172840904642,1423.4136957284245,1417.2346537282515,1402.7740209979536
2025-03-22,1275.0886492457403,1217.6068982425459,1160.9155582756248,1207.3767890874938
2025-03-23,1534.7022380281614,1597.5186487525043,1525.48925592955,1535.4161032541444
2025-03-24,1273.7251413505483,1342.3440115013318,1296.3260278574162,1276.3608013260723
