name,days,initial_energy_kwh,final_energy_kwh,first_residual_index,seconds,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,h1_cost_yuan,h2_cost_yuan
uniform28,334,8550.0,6000.0,0,18.1434805393219,13491490.175840508,952048.0330068646,14443538.208847374,22152013.390717834,6895229.334029129,5587430.760563595,250845.99354693238,3155871.3158325646,6020982.19961869,8422556.009228684
uniform42,334,8550.0,6000.0,0,26.187678813934326,13495066.672733836,912327.6561954364,14407394.328929273,22152980.459383473,6898239.836577864,5589869.267628072,241795.11443692932,3147215.5099039413,6009295.746167048,8398098.582762225
online_extended,334,8550.0,6000.0,0,34.43478965759277,13466618.198390877,927464.9989936216,14394083.197384499,22106071.329171933,6886527.800866292,5580382.518701697,245567.7892951588,3106304.341335828,6003924.415393526,8390158.781990975
