mode,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,source,update_hours,days,initial_energy_kwh,final_energy_kwh,seconds
B_aligned,13462693.51198398,0.0,0.0,0.0,0.0,927198.9920762748,14389892.504060255,22100215.19920864,22100215.19920864,0.0,0.0,246099.3261823813,3097820.325863108,history,[0],334,6000.0,6000.0,45.77858591079712
only_0,13361311.455226406,0.0,0.0,0.0,0.0,820133.5758276465,14181445.031054052,21925324.353496253,21925324.353496253,0.0,0.0,218589.29859990103,2904187.738487782,fusion,[0],334,6000.0,6000.0,43.00857663154602
at_0_6,13357362.055210512,91960.9410385966,98482.71336287912,49241.35668143957,42719.58435715703,701289.8278086586,14101371.467376327,21905962.911060862,21850764.26189168,100962.41926340728,156161.06843259413,186570.892702014,2802142.127584465,fusion,"[0, 6]",334,6000.0,6000.0,73.51002359390259
at_0_6_12,13346100.632683784,89528.77113399914,150236.93020317412,75118.46510158706,14410.306032412078,661847.1661537405,14022358.104869936,21881739.716305356,21734732.43135969,96784.20522757692,243791.49017324613,175344.39069847713,2676593.8125048983,fusion,"[0, 6, 12]",334,6000.0,6000.0,93.30429935455322
all,13345819.30087182,89947.28279979789,150170.13166615966,75085.06583307983,14862.216966718075,661715.4630574046,14022396.98089594,21880796.781802483,21734126.026541203,97028.05303014933,243698.8082914257,175369.94610641338,2676605.778241916,fusion,"[0, 6, 12, 18]",334,6000.0,6000.0,120.8980233669281
