mode,planned_cost_yuan,increase_cost_yuan,cancellation_refund_yuan,breach_cost_yuan,adjustment_net_yuan,emergency_cost_yuan,total_cost_yuan,original_kwh,adjusted_kwh,increase_kwh,decrease_kwh,emergency_kwh,dump_kwh,source,update_hours,days,initial_energy_kwh,final_energy_kwh,seconds
B_aligned,13472896.67553434,0.0,0.0,0.0,0.0,2044087.863432094,15516984.538966436,21040089.859076858,21040089.859076858,0.0,0.0,504526.1268622024,2328631.6183290537,history,[0],334,6000.0,6000.0,47.0768826007843
only_0,13432814.5460864,0.0,0.0,0.0,0.0,1862305.5583981771,15295120.10448458,20965242.625949968,20965242.625949968,0.0,0.0,461933.5553675733,2214898.5951525653,fusion,[0],334,6000.0,6000.0,46.732789754867554
at_0_6,13457716.59313148,138012.1708205674,146006.76903341213,73003.38451670606,65008.78630386136,1650369.076956017,15173094.456391357,20994923.67575618,20907045.461505264,138330.71718236068,226208.93143327755,410511.06108723953,2108995.151786969,fusion,"[0, 6]",334,6000.0,6000.0,83.28927946090698
at_0_6_12,13448411.645705797,153112.85484377283,173189.02431494842,86594.51215747421,66518.34268629862,1553680.4838779103,15068610.472270004,20974721.96018451,20849154.19061321,150029.74685124768,275597.5164225523,387077.17101710034,2026238.772926724,fusion,"[0, 6, 12]",334,6000.0,6000.0,112.16468930244446
all,13457230.677832652,152250.37789070676,173200.59013238366,86600.29506619183,65650.0828245149,1538854.6685306004,15061735.42918777,20984350.34822163,20858221.49894408,149487.64685612015,275616.49613367417,383981.0884748498,2031513.421078381,fusion,"[0, 6, 12, 18]",334,6000.0,6000.0,139.80686807632446
