name,days,report_start,report_end,initial_energy_kwh,final_energy_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,g_kwh,c_kwh,d_kwh,emergency_kwh,dump_kwh,emergency_slots,emergency_days,objective_assumption,saving_vs_repriced_q2_yuan,saving_percent
q2_repriced,334,2025-02-01,2025-12-31,8550.0,6000.0,14176690.067865916,1008014.1636103828,15184704.2314763,22098240.81750527,6888505.95482122,5581984.8234051885,246063.2534775549,3098593.4446001286,8518,333,Only historical observations available at 00:00,0.0,0.0
mean_price,334,2025-02-01,2025-12-31,8550.0,6000.0,14150341.69893518,1010579.7469026124,15160921.445837794,22087641.330718696,6824588.438609386,5530211.635273602,246917.24456790416,3100992.2769841505,8528,333,Only historical observations available at 00:00,23782.785638505597,0.1566233051099301
joint_price,334,2025-02-01,2025-12-31,8550.0,6000.0,14226247.807543568,936796.0807669684,15163043.888310537,22207103.00133451,6831393.328067649,5535723.595734796,226496.5331307559,3198740.3071657503,7963,333,Only historical observations available at 00:00,21660.34316576272,0.1426458022202573
known_today_price,334,2025-02-01,2025-12-31,8550.0,6000.0,14035884.898466276,997158.27975041,15033043.178216686,22149836.433255807,7142193.594444736,5787471.811500236,243986.6515936608,3099911.806938305,8489,333,Current-day prices available at 00:00; tomorrow prices forecast from history,151661.053259613,0.99877515523309
